hagrid,imr,mrdt,tmax,size_sample,quality,origin,biblioid,phenotype
1523,NULL,NULL,46.1,medium,acceptable,captivity,1,NULL
1524,NULL,NULL,60,medium,acceptable,wild,454,NULL
1525,NULL,NULL,27,medium,acceptable,wild,454,NULL
1526,NULL,NULL,100,medium,acceptable,wild,454,"Anecdotal evidence, which may turn out to be true, suggests these animals may live over 100 years."
1527,NULL,NULL,104,medium,acceptable,wild,22,NULL
1528,NULL,NULL,55,medium,acceptable,wild,454,NULL
1529,NULL,NULL,118,medium,acceptable,wild,1,NULL
1530,NULL,NULL,6,medium,acceptable,wild,454,NULL
1531,NULL,NULL,55,medium,acceptable,wild,454,NULL
1532,NULL,NULL,34,medium,acceptable,captivity,1,NULL
1533,NULL,NULL,48,medium,acceptable,wild,454,NULL
1534,NULL,NULL,80,medium,questionable,captivity,1303,"One fish known as ""Granddad"" owned by the Shedd Aquarium was thought to be over 80 years old [1303]."
1535,NULL,NULL,8.3,medium,acceptable,wild,1,NULL
1536,NULL,NULL,18,small,acceptable,captivity,520,"Lungfishes have been reported to live more than 20 years in captivity [0654], but this has not been confirmed."
1537,NULL,NULL,30,medium,acceptable,wild,454,NULL
1538,NULL,NULL,18,medium,acceptable,wild,454,NULL
1539,NULL,NULL,36,medium,acceptable,wild,454,NULL
1540,NULL,NULL,20,medium,acceptable,wild,454,NULL
1541,NULL,NULL,NULL,tiny,low,unknown,NULL,"All studied mammals age in that they show an increase in mortality with age, physiological deterioration, and reproductive senescence [0002]. Mammals, and eutherians in particular, age somewhat uniformly, despite a large variation in rates of ageing and a huge range of lifespans [0018]. Marsupials appear to age somewhat faster than size-equivalent eutherians [0596], with some species, such as the brown antechinus (<i>Antechinus stuartii</i>), being partly semelparous. As observed in other taxa, developmental schedules correlate strongly with longevity, yet metabolic rates do not correlate with longevity [0859]."
1542,NULL,NULL,19,medium,acceptable,captivity,671,"In the wild, they become sexually mature after their first winter's hibernation, though females may conceive at six months of age in captivity. One captive specimen lived for 19 years [0671]."
1543,NULL,NULL,NULL,small,low,unknown,NULL,In captivity these animals can live more than 2.5 years [0613]. Their maximum longevity is unknown.
1544,NULL,NULL,2.7,small,questionable,captivity,671,One captive specimen lived 2.7 years [0671]. Maximum lifespan may be significantly underestimated and further studies are necessary.
1545,NULL,NULL,5.6,small,acceptable,captivity,434,Record longevity in captivity is reportedly 5.6 years [0434].
1546,NULL,NULL,5.8,small,acceptable,captivity,434,Record longevity in captivity is reportedly 5.8 years [0434].
1547,NULL,NULL,14.1,medium,acceptable,captivity,671,"Gestation in this animal varies with ambient temperature, being shorter when temperatures are higher [0434]."
1548,NULL,NULL,8.7,small,acceptable,captivity,671,NULL
1549,NULL,NULL,17,medium,acceptable,captivity,1309,"In the wild, these animals tend to live less than 10 years [0542], though there are anecdotal reports of wild animals living as much as 15 years. One captive specimen lived 15.5 years [0671]."
1550,NULL,NULL,28,large,high,captivity,671,One wild born specimen was about 28 years old when it died in captivity [0671].
1551,NULL,NULL,25.6,large,high,captivity,671,One captive specimen lived at least 25.6 [0671].
1552,NULL,NULL,22.5,medium,acceptable,captivity,671,One wild born animal was about 22-23 years when it died in captivity [0671].
1553,NULL,NULL,NULL,small,low,unknown,NULL,"There is little or no data regarding the longevity of these animals, but they appear to live up to 12 years in the wild."
1554,NULL,NULL,21.7,large,acceptable,captivity,671,NULL
1555,NULL,NULL,19.8,large,high,captivity,671,"In the wild, these animals live on average less than 10 years, though it has been speculated that they may live up to 20 years [0542]. Record longevity in captivity is 19.8 years [0671]."
1556,NULL,NULL,23.9,large,high,captivity,671,"In captivity, these animals can live up to 23.9 years [0671]."
1557,NULL,NULL,NULL,small,low,unknown,NULL,"Little is known about the longevity of these endangered animals, but one captive specimen lived 15.2 years [0671]."
1558,NULL,NULL,33.5,large,high,captivity,671,"These animals have been estimated to live up to 25 years in the wild [0542]. Their maximum potential longevity has been estimated at 40 years [0434], though this has not been verified. Record longevity in captivity belongs to one male that was still alive at 33.5 years of age [0671]."
1559,NULL,NULL,26.4,medium,acceptable,captivity,671,"These animals have been estimated to live up to 27 years in the wild [0542], which may be overestimated. Record longevity in captivity is 26.4 years [0671]."
1560,NULL,NULL,26.2,medium,acceptable,captivity,671,One animal lived 26.2 years in captivity.
1561,NULL,NULL,26.3,large,high,captivity,671,"The yak reaches full size in 6-8 years. In the wild, these animals have been estimated to live up to 25 years [0434]. One captive specimen was still living after 26.3 years [0671]."
1562,NULL,NULL,27.1,medium,acceptable,captivity,671,"In captivity, these animals may live up to 27.1 years [0671]."
1563,NULL,NULL,NULL,small,low,unknown,NULL,"These animals have a lifespan of about 20 years, but their maximum longevity could be higher and further studies are warranted."
1564,NULL,NULL,20,large,questionable,captivity,434,"Estimating the maximum longevity of domestic cattle is troublesome since there are many conflicting reports. Females appear to remain fertile for about 12 years, and animals have been known to live over 20 years [0434]. Most likely, animals can live over 20 years and there are even anecdotal reports of a cow called ""Big Bertha"" that lived nearly 49 years. Lastly, there are unverified reports that miniature cattle live longer than normal animals."
1565,NULL,NULL,21.7,large,high,captivity,671,Longevity in captivity is at least 21.7 years.
1566,NULL,NULL,34.9,medium,acceptable,captivity,671,In captivity these animals may live up to 34.9 years [0671].
1567,NULL,NULL,36.1,medium,acceptable,captivity,671,These animals can live up to 36.1 years in captivity [0671].
1568,NULL,NULL,NULL,small,low,unknown,NULL,"These animals have been known to live more than 20 years [0687]. Some estimates suggest a lifespan of 25 years [0542], but more detailed studies are necessary to more correctly estimate the maximum longevity of this species."
1569,NULL,NULL,29.2,tiny,acceptable,captivity,671,One captive specimen was still alive at 29.2 years of age [0671].
1570,NULL,NULL,21.9,medium,acceptable,captivity,671,One captive specimen was alive at 21.9 years of age [0671].
1571,NULL,NULL,19.3,medium,acceptable,captivity,671,There is some debate whether these animals are a separate species from the East Caucasian tur (<i>Capra cylindricornis</i>).
1572,NULL,NULL,20.2,small,acceptable,captivity,671,"Most animals in the wild do not live more than 10 years, though a maximum longevity of 22 years has been suggested as possible [0434]. Record longevity in captivity is 20.2 years [0671]. There is some debate whether these animals are a separate species from the West Caucasian tur (<i>Capra caucasica</i>)."
1573,NULL,NULL,19.1,large,high,captivity,671,Few animals appear to live more than 12 years in the wild [0434]. One captive specimen lived 19.1 years [0671].
1574,NULL,NULL,20.8,large,high,captivity,671,"One animal is reported to have lived 22 years in captivity [0511], which is plausible but unverified. Record longevity in captivity belongs to one female who lived 20.8 years [0671]."
1575,NULL,NULL,21,large,high,captivity,1309,One specimen lived 20.9 years in captivity [0671].
1576,NULL,NULL,22.4,large,acceptable,captivity,"John Gramieri, pers. comm.","A captive female named ""Opal"" was 22.4 years of age when she died in 2011 at San Antonio Zoo (John Gramieri, pers. comm.)."
1577,NULL,NULL,NULL,tiny,low,unknown,NULL,In the wild these animals have been estimated to live up to 16 years [0542]. One captive specimen lived 15.2 years [0671]. Further studies are needed to better estimate the maximum longevity of this species.
1578,NULL,NULL,22.3,medium,acceptable,captivity,671,One captive specimen lived 22.3 years [0671].
1579,NULL,NULL,24,small,acceptable,captivity,671,One captive specimen lived 24 years [0671].
1580,NULL,NULL,18.5,small,acceptable,captivity,671,"One wild born specimen lived 18.5 years in captivity [0671]. It has been reported that these animals live up to 21 years [0542], which is possible but unconfirmed."
1581,NULL,NULL,17.5,small,acceptable,captivity,671,One wild born specimen was 17-18 years old when it died in captivity [0671].
1582,NULL,NULL,21,tiny,acceptable,captivity,671,"One wild born specimen was 21 years old when it died in captivity [0671]. Still, not much is known about these endangered animals and maximum longevity could be underestimated."
1583,NULL,NULL,15.2,medium,acceptable,captivity,671,One specimen was still alive after 15.2 years in captivity [0671].
1584,NULL,NULL,14.8,small,acceptable,captivity,671,One specimen was still alive after 14.8 years in captivity [0671].
1585,NULL,NULL,17.9,small,acceptable,captivity,671,NULL
1586,NULL,NULL,15.2,medium,acceptable,captivity,671,One captive specimen was still alive after 15.2 years [0671].
1587,NULL,NULL,22.5,medium,acceptable,captivity,671,One captive specimen was still alive after 22.5 years [0671].
1588,NULL,NULL,15.2,small,acceptable,captivity,671,One specimen lived 15.2 years in captivity [0671].
1589,NULL,NULL,NULL,small,low,unknown,NULL,"Not much is known about the longevity of these animals, but one wild born specimen was about 13 years old when it died in captivity. A hybrid between a zebra duiker and a blue duiker lived 20.3 years [0671]."
1590,NULL,NULL,21.8,medium,acceptable,captivity,671,One captive specimen lived for 21.8 years [0671].
1591,NULL,NULL,24.3,large,high,captivity,671,"Although they may be sexually mature earlier, males can only breed when they are about 2.5 years old. Females may breed at earlier ages. One specimen lived 24.3 years in captivity [0671]."
1592,NULL,NULL,35,medium,acceptable,captivity,1309,"In the wild, these animals have been estimated to live up to 15 years [0542]. One captive specimen lived 23.6 years [0671]."
1593,NULL,NULL,23,large,high,captivity,671,One wild born female was about 23 years old when she died in captivity [0671].
1594,NULL,NULL,14.5,medium,acceptable,captivity,671,One specimen lived 14.5 years in captivity [0671].
1595,NULL,NULL,20,medium,acceptable,captivity,671,NULL
1596,NULL,NULL,NULL,small,low,unknown,NULL,"Little is known about the longevity of these animals, but one captive specimen lived 12.3 years [0671]."
1597,NULL,NULL,17.9,medium,acceptable,captivity,671,One captive specimen lived 17.9 years [0671].
1598,NULL,NULL,23.7,large,high,captivity,671,One captive female lived for 23.7 years [0671].
1599,NULL,NULL,18.3,large,high,captivity,671,One captive specimen lived 18.3 years [0671].
1600,NULL,NULL,14.6,medium,acceptable,captivity,671,These animals have been estimated to live up to 14 years in the wild [0542]. One specimen lived 14.6 years in captivity [0671].
1601,NULL,NULL,14,medium,low,captivity,1309,"Little is known about the longevity of these animals, but one wild born specimen was about 14 years old when it died in captivity [0671]."
1602,NULL,NULL,16.3,large,high,captivity,671,In the wild these animals are expected to live up to 12 years [0542] but may live up to 16.3 years in captivity [0671].
1603,NULL,NULL,17.3,small,acceptable,captivity,671,"These endangered animals probably live around 4-5 years in the wild, though some may live up to 9 years [0542]. One captive specimen lived 17.3 years [0671]. Maximum longevity could be slightly underestimated because the better studied Himalayan tahr (<i>Hemitragus jemlahicus</i>) can live for more than 20 years."
1604,NULL,NULL,NULL,small,low,unknown,NULL,"Not much is known about these endangered animals, but one captive specimen was still alive when 15.6 years of age [0671]."
1605,NULL,NULL,24,medium,acceptable,captivity,1309,"Although males may be sexually mature at 2 years of age, they normally only start breeding at later ages."
1606,NULL,NULL,25.9,medium,acceptable,captivity,671,In the wild it has been estimated that these animals may live up to 19 years [0545]. One captive specimen lived for 25.9 years [0671].
1607,NULL,NULL,22.2,large,high,captivity,671,"In captivity, these animals can live up to 22.2 years [0671]."
1608,NULL,NULL,30,large,high,captivity,671,One wild born specimen was about 30 years old when it died in captivity [0671].
1609,NULL,NULL,21.9,medium,acceptable,captivity,671,NULL
1610,NULL,NULL,27,large,high,captivity,1309,"In the wild, it is estimated these animals may live up to 15 years [0542]. In captivity, they have been known to live up to 25.4 [0671]."
1611,NULL,NULL,21.1,large,high,captivity,671,"In the wild, these animals may live up to 10 years [0542]. One captive specimen was still alive after 21.1 years [0671]."
1612,NULL,NULL,17.3,medium,acceptable,captivity,671,"In the wild, these animals have been estimated to live up to 12 years [0542]. One captive specimen lived for 17.3 years [0671]."
1613,NULL,NULL,17.5,small,acceptable,captivity,671,One wild born specimen was about 17-18 years when it died in captivity [0671].
1614,NULL,NULL,17.3,medium,acceptable,captivity,671,NULL
1615,NULL,NULL,19,small,acceptable,captivity,671,One wild born specimen was about 19 years old when it died in captivity [0671].
1616,NULL,NULL,20.3,small,acceptable,captivity,671,One specimen lived 20.3 years in captivity [0671].
1617,NULL,NULL,17.6,small,acceptable,captivity,671,NULL
1618,NULL,NULL,19.3,large,acceptable,captivity,671,One captive specimen lived 19.3 years [0671].
1619,NULL,NULL,23,medium,acceptable,captivity,1309,One captive specimen lived 19.7 years [0671].
1620,NULL,NULL,15.5,medium,acceptable,captivity,671,NULL
1621,NULL,NULL,13.5,small,acceptable,captivity,671,NULL
1622,NULL,NULL,11.1,small,acceptable,captivity,671,NULL
1623,NULL,NULL,20.8,small,acceptable,captivity,671,One captive specimen lived 20.8 years [0671].
1624,NULL,NULL,25.9,medium,acceptable,captivity,671,One specimen lived 25.9 years at Frankfurt Zoo [0671].
1625,NULL,NULL,27.5,large,high,captivity,671,One specimen was still living after 27.5 years in captivity [0671].
1626,NULL,NULL,23.8,large,high,captivity,671,One captive specimen lived at least 23.8 years [0671].
1627,NULL,NULL,20.8,large,high,captivity,671,"In captivity, these animals can live up to 20.8 years [0671]."
1628,NULL,NULL,15.9,tiny,acceptable,captivity,671,NULL
1629,NULL,NULL,27.4,medium,acceptable,captivity,671,In the wild it has been reported that these animals may live up to 24 years [0542]. One wild born specimen was about 27.4 years old when it died in captivity [0671].
1630,NULL,NULL,16.8,small,acceptable,captivity,671,"In the wild these animals live up to 13 years [0542]. One wild born specimen was about 16.8 years old when it died in captivity [0671]. Males may be sexually mature at 1.5 years of age, but do not normally breed until they are much older."
1631,NULL,NULL,22.8,large,high,captivity,671,Domestic sheep exhibit gradual senescence. The onset of reproductive senescence has been shown to occur at 5 and 6 years of age [0750]. One captive specimen lived 22.8 years [0671]. Variation in the insulin-like growth factor I receptor gene is associated with longevity in ewes [1161].
1632,NULL,NULL,20.6,medium,acceptable,captivity,671,"Young females have an over 90% survival in the wild, though an increased mortality with age has been reported for both males and females after about 8 years of age [0800]. It has been reported that these animals live up to 24 years in captivity [0573], which could be overestimated. Record longevity in captivity is 20.6 years [0671]. In one study ewes that experienced poor early growth had prolonged growth at the expense of reproductive fitness and weaned a smaller portion of lambs [1202]."
1633,0.05,1.5,19.6,medium,acceptable,captivity,671,"One captive specimen lived 19.6 years [0671]. There are also anecdotal reports, which may be true, of animals living over 20 years."
1634,NULL,NULL,NULL,small,low,unknown,NULL,"In the wild, these animals live up to 10 years [0542]. One captive specimen lived for 12.3 years [0671]. Because they do not thrive in captivity [0434], it is possible that their maximum longevity is underestimated."
1635,NULL,NULL,18.3,small,acceptable,captivity,671,In the captivity these animals may live up to 18.3 years [0638].
1636,NULL,NULL,15.9,medium,acceptable,captivity,671,In the wild these animals live up to 12 years [0542]. One captive specimen was still alive after 15.9 years. A hybrid between a zebra duiker and a blue duiker lived 20.3 years [0671].
1637,NULL,NULL,12,small,acceptable,captivity,671,One wild born specimen was about 12 years old when it died in captivity [0671]. Tooth erosion appears to be a major life-limiting factor and explain why these animals live less than other similar species.
1638,NULL,NULL,20.9,medium,acceptable,captivity,671,"It has been reported that these animals live up to 24 years in the wild [0573], which may be overestimated. Record longevity in captivity is 20.9 years [0671]."
1639,NULL,NULL,9.3,medium,acceptable,captivity,671,NULL
1640,NULL,NULL,NULL,tiny,low,unknown,NULL,"Not much is known about the longevity of these animals, but one wild born specimen was about 7.7 years when it died in captivity [0671]."
1641,NULL,NULL,16.8,small,acceptable,captivity,671,NULL
1642,NULL,NULL,15,small,acceptable,captivity,671,In the wild these animals live up to 12 years [0542]. One wild born specimen was about 15 years old when it died in captivity [0671].
1643,NULL,NULL,NULL,small,low,unknown,NULL,Anecdotal reports suggesting that these animals live up to 18 years have not been verified upon close scrutiny. Record longevity in captivity is 10.7 years [0671]. Further studies are necessary.
1644,NULL,NULL,NULL,tiny,low,unknown,NULL,"Little is known about the longevity of these animals, but one captive specimen lived 12.3 years [0671]. Young females have an over 90% survival in the wild, though an increased mortality with age has been reported for both males and females after about 8 years of age [0800]."
1645,NULL,NULL,17.6,medium,acceptable,captivity,671,"Males are only fully mature at 8-9 years. Potential longevity has been estimated at 22 years [0434], which is possible. Record longevity in captivity, however, is 17.6 years [0671]."
1646,NULL,NULL,10,tiny,low,captivity,1309,Little is known about the longevity of these animals. One wild born specimen was about 10.5 years old when it died in captivity [0671]. They have been estimated to live up to 10-12 years in the wild [0434].
1647,NULL,NULL,15.4,medium,acceptable,captivity,671,Three animals aged 15.4 years where still alive in captivity [0671].
1648,NULL,NULL,32.8,medium,acceptable,captivity,"Thomas Brockmann, pers. comm.","These animals live up to 18 years in the wild [0434]. One captive female was 32.8 years of age when she died in 2015 at Dresden Zoo (Thomas Brockmann, pers. comm.)."
1649,NULL,NULL,20.3,medium,acceptable,captivity,671,One wild born specimen was about 20.3 years old when it died in captivity [0671].
1650,NULL,NULL,26.1,large,high,captivity,671,One captive specimen lived 26.1 years old [0671].
1651,NULL,NULL,17.4,small,acceptable,captivity,671,One captive specimen was still alive at 17.4 years of age [0671].
1652,NULL,NULL,23,medium,acceptable,captivity,1309,NULL
1653,NULL,NULL,22,large,high,captivity,1309,These animals can live up to 21.9 years in zoos [0671].
1654,NULL,NULL,19.8,medium,acceptable,captivity,671,One captive specimen lived 19.8 years [0671]. There are anecdotal reports of animals living over 20 years.
1655,NULL,NULL,15.3,medium,acceptable,captivity,671,One captive specimen lived 15.3 years [0671].
1656,NULL,NULL,22.6,large,high,captivity,671,These animals can live up to 22.6 years in zoos [0671].
1657,NULL,NULL,23.5,large,high,captivity,671,These animals can live up to 23.5 years in zoos [0671].
1658,NULL,NULL,35.4,large,high,captivity,671,"It has been suggested that the potential longevity of camels is up to 50 years [0434]. Record longevity in captivity for domestic camels, however, is 35.4 years [0671]."
1659,NULL,NULL,28.4,medium,acceptable,captivity,671,"It has been suggested that the potential longevity of dromedaries is up to 50 years [0434]. Record longevity in captivity, however, is 28.4 years [0671]. Anecdotal reports indicate a longer lifespan of domestic animals, but this has not been verified."
1660,NULL,NULL,28.9,large,high,captivity,671,"One captive specimen was still alive at 28.9 years of age [0671]. Since domesticated llamas are descended from the wild guanaco (<i>Lama guanicoe</i>), some authors consider them a single species."
1661,NULL,NULL,33.7,large,high,captivity,671,These animals can live up to 33.7 years in zoos [0671]. The guanaco is considered by some authors as a subspecies of the llama (<i>Lama glama</i>) since domesticated llamas are descended from the wild guanaco.
1662,NULL,NULL,25.8,large,high,captivity,671,These animals can live up to 25.8 years in zoos [0671].
1663,NULL,NULL,31.6,medium,acceptable,captivity,671,NULL
1664,NULL,NULL,NULL,tiny,low,unknown,NULL,"Antlers found in, predominantly male, deer have been argued as an example of organ regeneration unique among mammals and comparable to that found of amphibians. Stem cells appear to be involved in the process [0691]. Despite this curious adaptation, however, deer are not considered long-lived animals."
1665,NULL,NULL,17,medium,low,captivity,1309,"It has been reported that females may live up to 22 years in the wild [0538]. Others have reported that moose can live up to 27 years in the wild [0001], which is plausible but unconfirmed. Record longevity in captivity is 18.4 years [0671]. Due to these conflicting reports, the maximum longevity of this species is classified as unknown."
1666,NULL,NULL,20.8,large,high,captivity,671,These animals can live up to 20.8 years in zoos [0671].
1667,NULL,NULL,17.2,medium,acceptable,captivity,671,"One captive specimen was still living at 17.2 years of age [0671]. Similar species live over 20 years, so it is possible that maximum longevity is slightly underestimated in these animals."
1668,NULL,NULL,17.8,small,acceptable,captivity,671,"One specimen lived 17.8 years in captivity [0671]. Similar species live over 20 years, so it is possible that maximum longevity is slightly underestimated in these animals."
1669,NULL,NULL,22.9,medium,acceptable,captivity,671,One captive specimen was at least 22.9 years when it died [0671].
1670,NULL,NULL,NULL,tiny,low,unknown,NULL,"Little is known about the longevity of these animals, but one captive specimen lived 13.7 years [0671]."
1671,NULL,NULL,17.5,medium,acceptable,captivity,671,"Young females have an over 90% survival in the wild, though an increased mortality with age has been reported for both males and females after about 8 years of age [0800]. These animals may live up to 15 years in the wild [0542]. One wild born female was about 17.5 years when she died in captivity [0671]. Haematological parameters have been shown to exhibit senescence in the wild, which differ between sex and populations [1206]. The implantation can be delayed from 2 to 5.5 months, so the total gestation time can last from 122 to 305 days."
1672,NULL,NULL,NULL,small,low,unknown,NULL,"Little is known about the longevity of these animals, but one captive specimen lived 12.1 years [0671]."
1673,NULL,NULL,31.5,large,high,captivity,671,One captive specimen was about 31.5 years of age when it died [0671].
1674,NULL,NULL,26.3,large,high,captivity,671,Growth continues until ages 7-10 in males and ages 4-6 in females [0434].
1675,NULL,NULL,27,large,high,captivity,1309,"Males attain full size at 5-9 years of age and females at 4-6 years of age [0434]. In the wild, it is estimated that these animals live up to 25 years [0542], which is doubtful. Senescence has been observed in the wild in animals of the <i>mesopotamica</i> subspecies [1143]. Record longevity in captivity is 21.1 years [0671]."
1676,NULL,NULL,22.7,medium,acceptable,captivity,671,One specimen was still living after at least 22.7 years in captivity [0671].
1677,NULL,NULL,27.5,large,high,captivity,671,"In the wild, these animals have been estimated to live up to 18 years [0542]. One captive specimen lived 27.5 years [0671]."
1678,NULL,NULL,NULL,small,low,unknown,NULL,"Little is known about the longevity of these animals, but one captive specimen lived 10.6 years [0671]."
1679,NULL,NULL,NULL,small,low,unknown,NULL,"Little is known about the longevity of these endangered animals, but one captive specimen lived 10.8 years [0671]."
1680,NULL,NULL,13.9,large,acceptable,captivity,671,NULL
1681,NULL,NULL,17.1,medium,acceptable,captivity,671,"In the wild, these animals have been estimated to live up to 12 years [0542]. One captive specimen lived 17.1 years [0671]."
1682,NULL,NULL,14.8,small,acceptable,captivity,671,"In the wild, these animals have been estimated to live up to 12 years [0542]. One captive specimen lived 14.8 years [0671]."
1683,NULL,NULL,NULL,small,low,unknown,NULL,"Little is known about the longevity of these animals, but one wild born specimen was still alive in captivity at about 12 years of age [0671]."
1684,NULL,NULL,NULL,small,low,unknown,NULL,"Little is known about the longevity of these animals, but one wild born specimen was about 11.7 years old when it died in captivity [0671]."
1685,NULL,NULL,18.8,medium,acceptable,captivity,671,One captive specimen lived 18.8 years [0671].
1686,NULL,NULL,23.2,large,high,captivity,671,"In zoos, these animals can live up to 23.2 years [0671]."
1687,NULL,NULL,22,medium,acceptable,captivity,671,One captive female lived 20.5 years [0671]. A semicaptive reportedly lived 22 years [0434].
1688,NULL,NULL,23,large,high,captivity,956,"In the wild, few animals live more than 5-10 years. One pregnant female was about 19-23 years of age [0434]. Record longevity in captivity is 23 years [0956]."
1689,NULL,NULL,21.9,tiny,acceptable,captivity,671,One captive specimen lived for 21.9 years [0671].
1690,NULL,NULL,21.3,medium,acceptable,captivity,671,One specimen was still alive with at least 21.3 years of age [0671].
1691,NULL,NULL,18.3,medium,acceptable,captivity,956,"Males normally do not reproduce until they are about 2 years old [0448]. It has been reported that these animals may live up to 21 years in captivity [0434], which is plausible but has not been confirmed. Record longevity in captivity is 21.8 years [0956]."
1692,NULL,NULL,21.8,large,high,captivity,956,A gradual ageing process has been documented in this species [0548]. Record longevity in captivity is 21.8 years [0956].
1693,NULL,NULL,24.5,large,high,captivity,671,"In zoos, these animals can live up to 24.5 years [0671]."
1694,NULL,NULL,20.5,large,high,captivity,671,"In zoos, these animals can live up to 20.5 years [0671]."
1695,NULL,NULL,18.5,medium,acceptable,captivity,671,"One wild born specimen was about 18-19 years old when it died in captivity [0671]. Similar species live over 20 years, so it is possible that maximum longevity is slightly underestimated in these animals."
1696,NULL,NULL,NULL,small,low,unknown,NULL,"Little is known about the longevity of these endangered animals, but one specimen was about 17.4 years when it died in captivity [0671]."
1697,NULL,NULL,21.1,medium,acceptable,captivity,671,NULL
1698,NULL,NULL,26.4,large,acceptable,captivity,671,"In captivity these animals may live up to 26.4 years [0671], though they do not commonly live more than 20 years in the wild [0434]."
1699,NULL,NULL,39.5,large,high,captivity,671,There are anecdotal reports of giraffes living over 40 years. One wild born specimen was about 39.5 years when it died in captivity [0671]. Tooth wear has been suggested to have a significant deleterious impact in captivity [0827].
1700,NULL,NULL,33.5,medium,acceptable,captivity,671,NULL
1701,NULL,NULL,42.3,medium,acceptable,captivity,671,One captive specimen lived 42.3 years [0671].
1702,0.01,7,61.2,large,acceptable,captivity,671,Tooth erosion is a common age-related change in these animals. In captivity sexual maturity is attained at 3-4 years but in the wild mating does not occur until males are 6-13 years and females are 7-15 years [0434].
1703,NULL,NULL,NULL,small,low,unknown,NULL,"Little is known about the longevity of these animals and they are difficult to breed in captivity. Reportedly, one specimen in China lived 20 years [0674]. Still, their maximum longevity must be classified as unknown."
1704,NULL,NULL,NULL,tiny,low,unknown,NULL,"Not much is known about the longevity of these animals and they are difficult to breed in captivity. In the wild, they appear to live on average 3-7 years. One specimen lived 17.2 years in India. Their maximum longevity is likely much longer [0674]."
1705,NULL,NULL,NULL,small,low,unknown,NULL,Not much is known about the longevity of these animals and they are difficult to breed in captivity. One captive specimen lived 13.9 years [0671]. Their maximum longevity is likely much longer.
1706,NULL,NULL,22.9,medium,acceptable,captivity,671,"It has been reported that these animals may live up to 24 years [0001], which is possible but unverified. One captive specimen lived for 22.9 years [0671]."
1707,NULL,NULL,NULL,tiny,low,unknown,NULL,"Little is known about the longevity of these animals. They have been reported to live up to 18 years [0434]. Further studies in captivity are necessary, however, and maximum longevity could be underestimated."
1708,NULL,NULL,30,large,high,captivity,1309,One captive specimen lived for 20.9 years [0671]. This species is sometimes confused with <i>Phacochoerus aethiopicus</i> in the literature.
1709,NULL,NULL,NULL,tiny,low,unknown,NULL,"One captive specimen lived for 16.1 years [0671]. Maximum longevity is likely underestimated, though. Probably these animals can live for more than 20 years as it happens in the better studied bush pig (<i>Potamochoerus porcus</i>)."
1710,NULL,NULL,22,large,high,captivity,671,One wild born specimen was about 22 years old when it died in captivity [0671].
1711,NULL,NULL,16.2,medium,acceptable,captivity,671,They appear to live at least 16.2 years in captivity [0671].
1712,NULL,NULL,14,small,acceptable,captivity,671,"In the wild, these animals have been estimated to live up to 12 years [0573]. One specimen lived over 14 years at Berlin Zoo [0671]. They are critically endangered and hence their longevity may be underestimated."
1713,NULL,NULL,27,large,high,captivity,671,"While achieving sexual maturity much earlier, males do not typically mate until they are about 5 years old. One specimen of the riukiuanus subspecies lived for 27 years in captivity [0671]. As these animals age, there is a global loss of DNA methylation in the gene-body region of skeletal muscle [1207]."
1714,NULL,NULL,17,small,acceptable,captivity,671,"In the wild, these animals have been estimated to live up to 14 years [0542]. One specimen lived over 17 years at Berlin Zoo [0671]."
1715,NULL,NULL,NULL,small,low,unknown,NULL,Not much is known about the longevity of these animals. One captive specimen was still living at 14.7 years of age [0671].
1716,NULL,NULL,31.5,large,high,captivity,671,One captive specimen was still alive at 31.5 years of age [0671].
1717,NULL,NULL,28.5,medium,acceptable,captivity,671,One wild born specimen was still alive in captivity aged at least 28.5 years [0671].
1718,NULL,NULL,NULL,small,low,unknown,NULL,Little is known about the longevity of these animals. It has been suggested that they live up to 14 years in the wild [0573].
1719,NULL,NULL,14.5,small,acceptable,captivity,671,One captive specimen lived 14.5 years [0671].
1720,NULL,NULL,14,medium,acceptable,captivity,671,"In captivity, these animals live up to 14 years [0671]."
1721,NULL,NULL,16.7,medium,acceptable,captivity,671,One captive specimen lived 16.7 years [0671].
1722,NULL,NULL,19,large,high,captivity,671,One captive specimen lived for 19 years [0671].
1723,NULL,NULL,11.9,small,acceptable,captivity,671,NULL
1724,NULL,NULL,13.7,small,acceptable,captivity,671,NULL
1725,NULL,NULL,18.8,medium,acceptable,captivity,671,NULL
