pubmed_id,terms,title,journal,author,volume,authors,author_initials,year,contact_addresses,issue,pages,editor,review,publisher,url
15464245,"['Carcinoma, Hepatocellular/metabolism/pathology/physiopathology', 'Cell Adhesion Molecules, Neuronal/metabolism/pharmacology', 'Cell Aging/drug effects', 'Cell Cycle/drug effects/genetics', 'Cell Cycle Proteins/metabolism', 'Cell Line, Tumor', 'Cyclin-Dependent Kinase Inhibitor p21', 'Gene Expression/drug effects', 'Genes, Regulator', 'Humans', 'Liver/metabolism', 'Liver Neoplasms/metabolism/pathology/physiopathology', 'Nerve Growth Factors/metabolism/pharmacology']",Ninjurin1 increases p21 expression and induces cellular senescence in human hepatoma cells.,J. Hepatol.,Toyama et al.,41,,"Toyama, T et al.",2004,,4,637-643,,,,
15574587,"['Blotting, Northern', 'Blotting, Western', 'Cell Aging/physiology', 'Cell Line', 'Fibroblasts/cytology', 'Fluorescent Antibody Technique', 'Genetic Vectors', 'Humans', 'Oligonucleotide Array Sequence Analysis', 'Plasmids/genetics', 'Retinoblastoma Protein/metabolism', 'Reverse Transcriptase Polymerase Chain Reaction', 'Telomere/physiology', 'Tumor Suppressor Protein p53/metabolism', 'Ubiquitin-Protein Ligases/metabolism', 'Up-Regulation/physiology']",Smurf2 up-regulation activates telomere-dependent senescence.,Genes Dev.,Zhang and Cohen,18,,"Zhang, H. and Cohen, S.N.",2004,,24,3028-3040,,,,
15577914,"['Amino Acid Sequence', 'Animals', 'Cell Aging', 'Cell Line', 'Cell Transformation, Neoplastic', 'Fibroblasts', 'Humans', 'Molecular Sequence Data', 'Nerve Tissue Proteins/chemistry/metabolism', 'Nuclear Proteins/antagonists & inhibitors/metabolism', 'Oncogene Protein p21(ras)/genetics/metabolism', 'Oxidative Stress', 'Oxidoreductases Acting on CH-CH Group Donors/chemistry/metabolism', 'Protein Binding', 'Proto-Oncogene Proteins/antagonists & inhibitors/metabolism', 'Proto-Oncogene Proteins c-mdm2', 'Rats', 'Tumor Suppressor Protein p53/antagonists & inhibitors/chemistry/metabolism']",Regulation of cellular response to oncogenic and oxidative stress by Seladin-1.,Nature,Wu et al.,432,,"Wu, C et al.",2004,,7017,640-645,,,,
15621527,"['Amino Acid Sequence', 'Blotting, Western/methods', 'Cell Aging/physiology', 'Cell Count/methods', 'Cell Cycle/physiology', 'Cell Cycle Proteins/physiology', 'Cell Line', 'Chromosomal Proteins, Non-Histone/metabolism', 'Dosage Compensation, Genetic', 'Gene Expression Regulation/physiology', 'Heterochromatin/metabolism', 'Histones/metabolism', 'Immunohistochemistry/methods', 'Immunoprecipitation/methods', 'Indoles', 'Neoplasm Proteins/metabolism', 'Nuclear Proteins/metabolism', 'Recombinant Fusion Proteins/metabolism', 'Repressor Proteins', 'Time Factors', 'Transcription Factors/metabolism', 'Transfection/methods', 'Tumor Suppressor Proteins', 'ras Proteins/metabolism']",Formation of MacroH2A-containing senescence-associated heterochromatin foci and senescence driven by ASF1a and HIRA.,Dev. Cell,Zhang et al.,8,,"Zhang, R et al.",2005,,1,19-30,,,,
15657433,"['Apoptosis/physiology', 'Cell Aging/physiology', 'Chromosomal Instability/physiology', 'Fibroblasts/metabolism', 'Humans', 'In Situ Hybridization, Fluorescence', 'Protein Binding', 'RNA, Small Interfering/metabolism', 'Telomere/metabolism', 'Telomere-Binding Proteins/metabolism', 'Telomeric Repeat Binding Protein 2/metabolism', 'Tumor Cells, Cultured']",POT1 and TRF2 cooperate to maintain telomeric integrity.,Mol. Cell. Biol.,Yang et al.,25,,"Yang, Q et al.",2005,,3,1070-1080,,,,
15741276,"['Cell Aging/physiology', 'Cells, Cultured', 'DNA-Binding Proteins/genetics/physiology', 'Down-Regulation', 'Fibroblasts/physiology', 'Forkhead Box Protein O1', 'Forkhead Transcription Factors', 'Humans', 'Phenotype', 'RNA, Small Interfering/biosynthesis', 'Skin/cytology', 'Transcription Factors/genetics/physiology']","Down-regulation of a forkhead transcription factor, FOXO3a, accelerates cellular senescence in human dermal fibroblasts.",J. Gerontol. A Biol. Sci. Med. Sci.,Kyoung Kim et al.,60,,"Kyoung Kim, H et al.",2005,,1,04-Sep,,,,
15781639,"['Animals', 'Cell Aging/physiology', 'Cell Cycle Proteins/genetics', 'Cell Growth Processes/physiology', 'Cyclin-Dependent Kinase Inhibitor p16/deficiency/genetics', 'Cyclin-Dependent Kinase Inhibitor p21', 'Heterochromatin/metabolism', 'Histone Deacetylases/metabolism', 'Humans', 'Melanoma/metabolism/pathology', 'Melanoma, Experimental/metabolism', 'Mice', 'Promoter Regions, Genetic', 'T-Box Domain Proteins/biosynthesis/physiology']",Tbx2 is overexpressed and plays an important role in maintaining proliferation and suppression of senescence in melanomas.,Cancer Res.,Vance et al.,65,,"Vance, KW et al.",2005,,6,2260-2268,,,,
15791002,"['Blotting, Northern', 'Cell Aging/genetics', 'Cell Division', 'Cell Line', 'Cell Nucleus/chemistry', 'Cyclin-Dependent Kinase Inhibitor p16/genetics', 'Cyclin-Dependent Kinase Inhibitor p21/genetics', 'Cyclin-Dependent Kinase Inhibitor p27/genetics', 'DNA, Complementary/genetics', 'Diploidy', 'Embryo, Mammalian', 'Female', 'Fibroblasts/cytology/metabolism', 'G1 Phase', 'Gene Expression', 'Humans', 'Intracellular Signaling Peptides and Proteins/genetics', 'Lung', 'Nucleic Acid Hybridization', 'Tissue Distribution', 'Transcription Factors/chemistry/genetics/physiology', 'Transfection', 'beta-Galactosidase/genetics/metabolism']",Expression of the Leo1-like domain of replicative senescence down-regulated Leo1-like (RDL) protein promotes senescence of 2BS fibroblasts.,FASEB J.,Zhao et al.,19,,"Zhao, L et al.",2005,,6,521-532,,,,
16024799,"['Acetylation', 'Cell Aging/physiology', 'Cell Division/physiology', 'Cell Line', 'Cell Proliferation', 'Homeodomain Proteins/biosynthesis/physiology', 'Humans', 'Nuclear Proteins/metabolism/physiology', 'Phosphorylation', 'Protein Processing, Post-Translational', 'Receptors, Cytoplasmic and Nuclear/biosynthesis/physiology', 'Serine/metabolism', 'Trans-Activators/metabolism/physiology', 'Tumor Suppressor Protein p53/metabolism', 'Tumor Suppressor Proteins/biosynthesis/physiology']",ING2 regulates the onset of replicative senescence by induction of p300-dependent p53 acetylation.,Mol. Cell. Biol.,Pedeux et al.,25,,"Pedeux, R et al.",2005,,15,6639-6648,,,,
16079850,"['Cell Aging', 'Cell Cycle', 'Cell Line', 'Cell Proliferation', 'Cyclin-Dependent Kinase Inhibitor p16/deficiency/genetics/metabolism', 'Fibroblasts', 'Humans', 'In Situ Hybridization, Fluorescence', 'Infant', 'Melanocytes/pathology', 'Nevus/congenital/genetics/metabolism/pathology', 'Proto-Oncogene Proteins B-raf/genetics/metabolism', 'Telomere/genetics/metabolism', 'beta-Galactosidase/metabolism']",BRAFE600-associated senescence-like cell cycle arrest of human naevi.,Nature,Michaloglou et al.,436,,"Michaloglou, C et al.",2005,,7051,720-724,,,,
16204065,"['Antibiotics, Antineoplastic/antagonists & inhibitors/pharmacology', 'Cell Aging/drug effects', 'Cell Line, Tumor', 'Cyclin-Dependent Kinase Inhibitor p21/antagonists & inhibitors/biosynthesis', 'DNA-Binding Proteins/metabolism', 'Down-Regulation', 'Doxorubicin/antagonists & inhibitors/pharmacology', 'Drug Resistance, Neoplasm', 'Fibrosarcoma/drug therapy/enzymology/metabolism/pathology', 'G2 Phase/drug effects/physiology', 'Humans', 'Kruppel-Like Transcription Factors', 'Mitosis/physiology', 'Polyploidy', 'Promoter Regions, Genetic', 'Proto-Oncogene Proteins c-myc/antagonists & inhibitors/biosynthesis/genetics', 'STAT3 Transcription Factor/metabolism', 'Transcription Factors/metabolism', 'Tumor Suppressor Protein p53/metabolism', 'src-Family Kinases/biosynthesis/genetics/metabolism']",Src inhibits adriamycin-induced senescence and G2 checkpoint arrest by blocking the induction of p21waf1.,Cancer Res.,Vigneron et al.,65,,"Vigneron, A et al.",2005,,19,8927-8935,,,,
16254365,"['Cell Aging/physiology', 'Cell Cycle/genetics', 'Cell Division/genetics', 'Cell Line', 'Cell Line, Tumor', 'Chromosomal Proteins, Non-Histone/genetics', 'Gene Expression Regulation, Viral', 'HeLa Cells', 'Humans', 'Oncogene Proteins/genetics', 'Papillomaviridae/genetics/pathogenicity', 'Papillomavirus Infections/physiopathology', 'Phenotype', 'Proto-Oncogene Proteins/genetics', 'Tumor Virus Infections/physiopathology']",The human DEK proto-oncogene is a senescence inhibitor and an upregulated target of high-risk human papillomavirus E7.,J. Virol.,Wise-Draper et al.,79,,"Wise-Draper, TM et al.",2005,,22,14309-14317,,,,
16357137,"['Blotting, Northern', 'Breast Neoplasms/genetics/metabolism', 'Carrier Proteins/metabolism', 'Cell Aging/genetics', 'Cell Cycle Proteins/metabolism', 'Cell Proliferation', 'Chromosomes, Artificial, Bacterial', 'Chromosomes, Human, Pair 16', 'Colony-Forming Units Assay', 'Cullin Proteins/metabolism', 'F-Box Proteins/genetics/metabolism', 'Female', 'G1 Phase', 'G2 Phase', 'Genes, Tumor Suppressor', 'Humans', 'Immunoprecipitation', 'Kidney/metabolism', 'Tumor Cells, Cultured', 'Tumor Suppressor Proteins/genetics/metabolism']","FBXO31 is the chromosome 16q24.3 senescence gene, a candidate breast tumor suppressor, and a component of an SCF complex.",Cancer Res.,Kumar et al.,65,,"Kumar, R et al.",2005,,24,11304-11313,,,,
16388800,"['Adult', 'Aged', 'Aged, 80 and over', 'Breast Neoplasms/diagnosis/genetics', 'Cell Aging/genetics/physiology', 'Cell Proliferation', 'Cells, Cultured', 'DNA Damage/physiology', 'DNA Repair/physiology', 'DNA Repair Enzymes', 'Endothelial Cells/cytology/physiology', 'Female', 'Gene Expression Regulation', 'Humans', 'Middle Aged', 'Nuclear Proteins/genetics/metabolism', 'RNA Splicing Factors', 'RNA, Messenger/genetics/metabolism', 'Reverse Transcriptase Polymerase Chain Reaction']",SNEV overexpression extends the life span of human endothelial cells.,Exp. Cell Res.,Voglauer et al.,312,,"Voglauer, R et al.",2006,,6,746-759,,,,
16442104,"['Aging/physiology', 'Animals', 'Casein Kinase II/antagonists & inhibitors/biosynthesis/genetics', 'Cell Aging/drug effects/physiology', 'Cell Line', 'Cyclin-Dependent Kinase Inhibitor p21/biosynthesis/genetics', 'Dichlororibofuranosylbenzimidazole/pharmacology', 'Down-Regulation/drug effects/physiology', 'Enzyme Inhibitors/pharmacology', 'Gene Expression Regulation, Enzymologic/drug effects/physiology', 'Gene Silencing/drug effects', 'Humans', 'Hydrogen Peroxide/pharmacology', 'Liver/cytology/enzymology', 'Male', 'Oxidants/pharmacology', 'RNA, Small Interfering/genetics/pharmacology', 'Rats', 'Rats, Inbred F344', 'Testis/cytology/enzymology', 'Transcription, Genetic/drug effects/physiology', 'Tumor Suppressor Protein p53/biosynthesis/genetics']",Downregulation of protein kinase CKII is associated with cellular senescence.,FEBS Lett.,Ryu et al.,580,,"Ryu, SW et al.",2006,,3,988-994,,,,
16513254,"['Animals', 'Cell Aging', 'Cell Line, Tumor', 'Cell Proliferation', 'DNA Damage', 'Enzyme Activation', 'Fibroblasts/metabolism', 'Gene Expression Regulation, Neoplastic', 'Genes, Tumor Suppressor', 'Humans', 'Interferon Regulatory Factor-3/metabolism', 'Mice', 'RNA Interference', 'Transcription, Genetic', 'Tumor Suppressor Protein p53/physiology']",Interferon regulatory factor 3 activates p53-dependent cell growth inhibition.,Cancer Lett.,Kim et al.,242,,"Kim, TK et al.",2006,,2,215-221,,,,
16537449,"['Base Sequence', 'Cell Aging/genetics/physiology', 'Cells, Cultured', 'Cyclin-Dependent Kinase Inhibitor p16/genetics/metabolism', 'DNA/genetics', 'Genes, myc', 'Humans', 'Nuclear Proteins/genetics/metabolism', 'Polycomb Repressive Complex 1', 'Proto-Oncogene Proteins/genetics/metabolism', 'Proto-Oncogene Proteins c-myc/genetics/metabolism', 'RNA Interference', 'RNA, Messenger/genetics/metabolism', 'Repressor Proteins/genetics/metabolism', 'Signal Transduction', 'Telomere/metabolism']",Reduced c-Myc signaling triggers telomere-independent senescence by regulating Bmi-1 and p16(INK4a).,Proc. Natl. Acad. Sci. U.S.A.,Guney et al.,103,,"Guney, I et al.",2006,,10,3645-3650,,,,
16539655,"['Astrocytes/metabolism', 'Ataxia Telangiectasia Mutated Proteins', 'Bromodeoxyuridine/pharmacokinetics', 'Cell Aging/physiology', 'Cell Cycle Proteins/metabolism', 'Cell Differentiation/physiology', 'Cell Line, Tumor', 'Cell Proliferation', 'Checkpoint Kinase 2', 'Cloning, Molecular/methods', 'DNA Damage/physiology', 'DNA-Binding Proteins/metabolism', 'Dose-Response Relationship, Radiation', 'Electric Stimulation/methods', 'Embryo, Mammalian', 'Gene Expression/physiology', 'Green Fluorescent Proteins/metabolism', 'Hippocampus/cytology', 'Histones/metabolism', 'Humans', 'Ion Channels/physiology', 'Membrane Potentials/genetics/radiation effects', 'Neuroblastoma', 'Neurons/physiology', 'Nuclear Proteins/metabolism', 'Protein Structure, Tertiary/physiology', 'Protein-Serine-Threonine Kinases/metabolism', 'RNA, Messenger/biosynthesis', 'TATA Box Binding Protein-Like Proteins/metabolism', 'Telomeric Repeat Binding Protein 2', 'Transfection/methods', 'Tumor Suppressor Protein p53/metabolism', 'Tumor Suppressor Proteins/metabolism']",TRF2 dysfunction elicits DNA damage responses associated with senescence in proliferating neural cells and differentiation of neurons.,J. Neurochem.,Zhang et al.,97,,"Zhang, P et al.",2006,,2,567-581,,,,
16604064,"['Animals', 'COS Cells', 'Cell Aging/physiology', 'Cell Division/physiology', 'Cells, Cultured', 'Cercopithecus aethiops', 'DNA/biosynthesis', 'Dual Specificity Phosphatase 3', 'Extracellular Signal-Regulated MAP Kinases/metabolism', 'HeLa Cells', 'Humans', 'JNK Mitogen-Activated Protein Kinases/metabolism', 'MAP Kinase Kinase Kinases/metabolism', 'Protein Tyrosine Phosphatases/deficiency/genetics/metabolism', 'RNA, Small Interfering/genetics', 'S Phase/physiology']",Loss of the VHR dual-specific phosphatase causes cell-cycle arrest and senescence.,Nat. Cell Biol.,Rahmouni et al.,8,,"Rahmouni, S et al.",2006,,5,524-531,,,,
16626397,"['Cell Aging', 'Cells, Cultured', 'Fibroblasts/cytology/pathology', 'Gangliosidoses/enzymology', 'HeLa Cells', 'Humans', 'Lysosomes/enzymology', 'Mutation/genetics', 'RNA Interference', 'beta-Galactosidase/genetics/metabolism']",Senescence-associated beta-galactosidase is lysosomal beta-galactosidase.,Aging Cell,Lee et al.,5,,"Lee, BY et al.",2006,,2,187-195,,,,
16793547,"['Apoptosis/physiology', 'Cell Aging/physiology', 'Cell Transformation, Viral/genetics', 'E2F Transcription Factors/genetics/metabolism', 'Fibroblasts/cytology/physiology', 'Gene Expression/genetics', 'Humans', 'Oncogene Proteins, Viral/genetics/metabolism', 'Protein Inhibitors of Activated STAT/deficiency/metabolism', 'Protein Processing, Post-Translational', 'Response Elements/genetics', 'Retinoblastoma Protein/genetics/metabolism', 'SUMO-1 Protein/genetics/metabolism', 'Transfection', 'Tumor Suppressor Protein p53/genetics/metabolism', 'Ubiquitin-Protein Ligases/genetics/metabolism']",The E3 SUMO ligase PIASy is a regulator of cellular senescence and apoptosis.,Mol. Cell,Bischof et al.,22,,"Bischof, O et al.",2006,,6,783-794,,,,
16862142,"['Animals', 'Blotting, Western', 'Cell Aging/genetics/physiology', 'Cell Proliferation/drug effects', 'Cells, Cultured', 'Cisplatin/pharmacology', 'Cyclin-Dependent Kinase 4/metabolism', 'Cyclin-Dependent Kinase Inhibitor p16', 'Cyclin-Dependent Kinase Inhibitor p21/metabolism', 'DNA Damage', 'Embryo, Mammalian/cytology', 'Fibroblasts/cytology/drug effects/metabolism', 'Glycogen Synthase Kinase 3/metabolism', 'Glycogen Synthase Kinase 3 beta', 'Humans', 'Mice', 'Microscopy, Fluorescence', 'Mutation/genetics', 'NIH 3T3 Cells', 'Phosphatidylinositol 3-Kinases/metabolism', 'Plasminogen Activator Inhibitor 1/genetics/physiology', 'Proto-Oncogene Proteins c-akt/metabolism', 'RNA Interference', 'Tumor Suppressor Protein p14ARF/metabolism', 'Tumor Suppressor Protein p53/genetics/physiology']",Plasminogen activator inhibitor-1 is a critical downstream target of p53 in the induction of replicative senescence.,Nat. Cell Biol.,Kortlever et al.,8,,"Kortlever, RM et al.",2006,,8,877-884,,,,
16908765,"['Aging, Premature/physiopathology', 'Angiotensin II/pharmacology', 'Animals', 'Aorta', 'Apolipoproteins E/deficiency/genetics', 'Atherosclerosis/physiopathology', 'Blood Pressure', 'Cells, Cultured', 'Disease Models, Animal', 'Genes, Reporter', 'Mice', 'Mice, Inbred C57BL', 'Mice, Knockout', 'Muscle, Smooth, Vascular/drug effects/growth & development', 'Transfection']",Angiotensin II induces premature senescence of vascular smooth muscle cells and accelerates the development of atherosclerosis via a p21-dependent pathway.,Circulation,Kunieda et al.,114,,"Kunieda, T et al.",2006,,9,953-960,,,,
17014852,"['Cell Aging/physiology', 'Cell Differentiation', 'Cells, Cultured', 'Cyclin-Dependent Kinase Inhibitor p21/genetics/metabolism', 'Fibroblasts', 'Glucuronidase/genetics/metabolism', 'Humans', 'Insulin/metabolism', 'Insulin-Like Growth Factor I/metabolism', 'RNA Interference', 'Signal Transduction', 'Tumor Suppressor Protein p53/genetics/metabolism', 'Up-Regulation']",Klotho RNAi induces premature senescence of human cells via a p53/p21 dependent pathway.,FEBS Lett.,de Oliveira,580,,"de Oliveira, RM.",2006,,24,5753-5758,,,,
17045205,"['Animals', 'Cell Line, Transformed', 'Cell Proliferation', 'Cell Transformation, Viral', 'Crosses, Genetic', 'Embryo, Mammalian', 'Fibroblasts/metabolism', 'Kinetics', 'Mice', 'Mice, Inbred C57BL', 'Mice, Knockout', 'Mice, Transgenic', 'Multiprotein Complexes', 'Neoplasms/etiology/pathology', 'Protein Kinases/genetics/metabolism', 'Proteins', 'Proto-Oncogene Proteins c-akt/deficiency/genetics', 'Retroviridae/genetics', 'TOR Serine-Threonine Kinases', 'Trans-Activators/genetics/metabolism', 'Transcription Factors', 'Tumor Suppressor Protein p53/genetics/metabolism']",Akt deficiency impairs normal cell proliferation and suppresses oncogenesis in a p53-independent and mTORC1-dependent manner.,Cancer Cell,Skeen et al.,10,,"Skeen, JE et al.",2006,,4,269-280,,,,
17060621,"['Apoptosis', 'Biomarkers', 'Cell Aging/physiology', 'Cell Transformation, Neoplastic/genetics/metabolism/pathology', 'Cells, Cultured', 'Chemokine CXCL1', 'Chemokines, CXC/genetics/metabolism', 'Female', 'Fibroblasts/cytology', 'Gene Expression Regulation', 'Humans', 'Ovarian Neoplasms/genetics/metabolism/pathology', 'Signal Transduction', 'Stromal Cells/cytology/pathology', 'Tumor Suppressor Protein p53/metabolism', 'ras Proteins/genetics/metabolism']",The chemokine growth-regulated oncogene 1 (Gro-1) links RAS signaling to the senescence of stromal fibroblasts and ovarian tumorigenesis.,Proc. Natl. Acad. Sci. U.S.A.,Yang et al.,103,,"Yang, G et al.",2006,,44,16472-16477,,,,
17092487,"['Cell Aging/physiology', 'Cell Line', 'Feedback/physiology', 'Fibroblasts/cytology/metabolism', 'GTP-Binding Protein gamma Subunits/metabolism', 'HeLa Cells', 'Humans', 'Signal Transduction/physiology']",G-protein gamma subunit GNG11 strongly regulates cellular senescence.,Biochem. Biophys. Res. Commun.,Hossain et al.,351,,"Hossain, MN et al.",2006,,3,645-650,,,,
17130839,"['Aging/genetics/physiology', 'Animals', 'BALB 3T3 Cells', 'Cell Aging/genetics/physiology', 'Cell Line, Transformed', 'Cells, Cultured', 'Endoribonucleases/deficiency/genetics/physiology', 'Longevity/genetics/physiology', 'Mice', 'Mice, Inbred BALB C', 'Mice, Inbred C57BL', 'Mice, Knockout', 'Tumor Suppressor Proteins/deficiency/genetics/physiology']",Role of 2-5A-dependent RNase-L in senescence and longevity.,Oncogene,Andersen et al.,26,,"Andersen, JB et al.",2007,,21,3081-3088,,,,
17151361,"['Binding Sites', 'Cell Aging/genetics', 'Cell Proliferation', 'Cells, Cultured', 'Chromatin Immunoprecipitation', 'Down-Regulation', 'Gene Expression Regulation', 'Genes, Reporter', 'Humans', 'Nuclear Proteins/antagonists & inhibitors/genetics/metabolism', 'Polycomb Repressive Complex 1', 'Promoter Regions, Genetic', 'Proto-Oncogene Proteins/antagonists & inhibitors/genetics/metabolism', 'Proto-Oncogene Proteins c-myc/genetics/metabolism', 'RNA Interference', 'Repressor Proteins/antagonists & inhibitors/genetics/metabolism']","Mel-18, a polycomb group protein, regulates cell proliferation and senescence via transcriptional repression of Bmi-1 and c-Myc oncoproteins.",Mol. Biol. Cell,Guo et al.,18,,"Guo, WJ et al.",2007,,2,536-546,,,,
17164141,"['Adult', 'Alternative Splicing', 'Arachidonate 15-Lipoxygenase/genetics/physiology', 'Cadherins/physiology', 'Cell Aging', 'Cell Cycle Proteins/physiology', 'Cell Differentiation', 'Cell Enlargement', 'Epithelial Cells/cytology', 'Gene Expression', 'Humans', 'Hydroxyeicosatetraenoic Acids/physiology', 'Male', 'Prostate/cytology', 'Prostatic Neoplasms/physiopathology', 'Receptors, Androgen/physiology', 'Sp1 Transcription Factor/physiology', 'Sp3 Transcription Factor/physiology', 'Tumor Suppressor Proteins/physiology']","15-lipoxygenase 2 (15-LOX2) is a functional tumor suppressor that regulates human prostate epithelial cell differentiation, senescence, and growth (size).",Prostaglandins Other Lipid Mediat.,Tang et al.,82,,"Tang, DG et al.",2007,,01-Apr,135-146,,,,
17225865,"['Base Composition', 'Cell Aging/physiology', 'Cyclin-Dependent Kinase Inhibitor p16/genetics/metabolism', 'Fibroblasts/cytology/physiology', 'Gene Expression Regulation', 'Humans', 'Promoter Regions, Genetic', 'Protein Binding', 'RNA Interference', 'Sp1 Transcription Factor/genetics/metabolism', 'beta-Galactosidase/genetics/metabolism']",Sp1 is essential for p16 expression in human diploid fibroblasts during senescence.,PLoS ONE,Wu et al.,2,,"Wu, J et al.",2007,,1,e164,,,,
17254968,"['Animals', 'Cell Aging/genetics', 'Cell Line', 'Cell Transformation, Neoplastic/genetics/metabolism', 'Cells, Cultured', 'Gene Expression Regulation, Neoplastic/genetics', 'Humans', 'Intracellular Signaling Peptides and Proteins', 'Mice', 'Mice, Knockout', 'Phosphorylation', 'Protein-Serine-Threonine Kinases/genetics/metabolism', 'Signal Transduction/genetics', 'Skin Neoplasms/chemically induced/genetics/metabolism', 'Tumor Suppressor Protein p53/genetics/metabolism', 'Tumor Suppressor Proteins/genetics/metabolism', 'p38 Mitogen-Activated Protein Kinases/genetics/metabolism', 'ras Proteins/genetics/metabolism']",PRAK is essential for ras-induced senescence and tumor suppression.,Cell,Sun et al.,128,,"Sun, P et al.",2007,,2,295-308,,,,
17332504,"['Animals', 'Antigens, Nuclear/metabolism', 'Autoantigens/metabolism', 'Cell Aging', 'Cell Line', 'Cell Nucleus/metabolism', 'Cyclin-Dependent Kinase Inhibitor p21/metabolism', 'Doxorubicin/pharmacology', 'Fibroblasts/cytology/drug effects/metabolism', 'Genes, p53', 'HeLa Cells', 'Humans', 'Mice', 'Mice, Inbred C57BL', 'Mice, Knockout', 'Nuclear Proteins/deficiency/genetics/metabolism', 'Recombinant Fusion Proteins/genetics/metabolism', 'Transfection', 'Tumor Suppressor Protein p53/deficiency/genetics/metabolism']",Dynamic regulation of p53 subnuclear localization and senescence by MORC3.,Mol. Biol. Cell,Takahashi et al.,18,,"Takahashi, K et al.",2007,,5,1701-1709,,,,
17332741,"['Animals', 'Cell Aging/genetics/physiology', 'Cell Proliferation', 'Chromatin/metabolism', 'Chromatin Immunoprecipitation', 'Cyclin-Dependent Kinase Inhibitor p16/genetics/metabolism', 'Fibroblasts', 'Flow Cytometry', 'Gene Expression Profiling', 'Gene Expression Regulation/genetics/physiology', 'Humans', 'Mice', 'Microscopy, Fluorescence', 'Nuclear Proteins/metabolism', 'Polycomb Repressive Complex 1', 'Polycomb-Group Proteins', 'Proto-Oncogene Proteins/metabolism', 'Repressor Proteins/metabolism', 'Reverse Transcriptase Polymerase Chain Reaction']",Bypass of senescence by the polycomb group protein CBX8 through direct binding to the INK4A-ARF locus.,EMBO J.,Dietrich et al.,26,,"Dietrich, N et al.",2007,,6,1637-1648,,,,
17389721,"['Antimetabolites, Antineoplastic/pharmacology', 'Azacitidine/analogs & derivatives/pharmacology', 'Biomarkers/analysis', 'Biomarkers, Tumor/analysis', 'Cell Aging/drug effects', 'Cell Line, Tumor', 'Chromatin/drug effects', 'Chromatin Assembly and Disassembly/drug effects', 'Cyclin-Dependent Kinase Inhibitor p16/drug effects/genetics', 'DNA Methylation/drug effects', 'DNA Modification Methylases/antagonists & inhibitors', 'Epigenesis, Genetic/drug effects', 'Gene Expression Regulation, Neoplastic/genetics', 'Gene Silencing/drug effects', 'Genes, p53/genetics', 'HSP70 Heat-Shock Proteins/genetics/pharmacology', 'Heat-Shock Proteins/genetics/pharmacology', 'Humans', 'Lipoproteins/genetics/pharmacology', 'Membrane Proteins/genetics/pharmacology', 'Molecular Chaperones/genetics/pharmacology', 'Osteosarcoma/pathology', 'Tumor Suppressor Proteins/drug effects']","Stress chaperones, mortalin, and pex19p mediate 5-aza-2' deoxycytidine-induced senescence of cancer cells by DNA methylation-independent pathway.",J. Gerontol. A Biol. Sci. Med. Sci.,Widodo et al.,62,,"Widodo, N et al.",2007,,3,246-255,,,,
17510426,"['Adenoviridae/genetics', 'Animals', 'Cell Cycle/genetics', 'Cell Growth Processes/genetics', 'Cell Line, Tumor', 'Cyclin-Dependent Kinase Inhibitor p16/metabolism', 'Down-Regulation', 'Genetic Therapy/methods', 'Humans', 'MAP Kinase Signaling System/genetics', 'Male', 'Matrix Metalloproteinase 9/biosynthesis/deficiency/genetics/metabolism', 'Medulloblastoma/enzymology/genetics/pathology/therapy', 'Mice', 'Mice, Nude', 'Neoplasm Invasiveness', 'Oncolytic Virotherapy/methods', 'RNA, Small Interfering/genetics', 'Xenograft Model Antitumor Assays']",MMP-9 short interfering RNA induced senescence resulting in inhibition of medulloblastoma growth via p16(INK4a) and mitogen-activated protein kinase pathway.,Cancer Res.,Rao et al.,67,,"Rao, JS et al.",2007,,10,4956-4964,,,,
17627613,"['Alternative Splicing', 'Cell Aging/genetics/physiology', 'Cell Line', 'Cyclin-Dependent Kinase Inhibitor p16/genetics/metabolism', 'Humans', 'MAP Kinase Kinase 6/biosynthesis/genetics', 'Oligonucleotide Array Sequence Analysis', 'Promoter Regions, Genetic', 'Protein Isoforms/biosynthesis/genetics/physiology', 'Trans-Activators/physiology', 'Transcription Factors/biosynthesis/genetics/physiology', 'Up-Regulation/genetics/physiology', 'p38 Mitogen-Activated Protein Kinases/genetics/physiology']","ESE-3, an Ets family transcription factor, is up-regulated in cellular senescence.",Cancer Sci.,Fujikawa et al.,98,,"Fujikawa, M et al.",2007,,9,1468-1475,,,,
17643369,"['Cell Aging/physiology', 'Cell Cycle Proteins/metabolism', 'Cells, Cultured', 'Down-Regulation', 'Glycogen Synthase Kinase 3/metabolism', 'Glycogen Synthase Kinase 3 beta', 'Heterochromatin/metabolism', 'Histone Chaperones', 'Humans', 'Ligands', 'RNA Interference', 'Signal Transduction', 'Transcription Factors/metabolism', 'Wnt Proteins/antagonists & inhibitors/genetics/metabolism', 'Wnt2 Protein/metabolism']",Downregulation of Wnt signaling is a trigger for formation of facultative heterochromatin and onset of cell senescence in primary human cells.,Mol. Cell,Ye et al.,27,,"Ye, X et al.",2007,,2,183-196,,,,
