mapping,gene_symbol,gene_name,entrez_id,total,overexp,underexp,p_value,classification,ensembl,alias
NULL,NEK2,NIMA related kinase 2,4751,20,0,1,0.00000519,NULL,NULL,NULL
NULL,NPM1,nucleophosmin 1,4869,19,0,1,0.000032,NULL,NULL,NULL
NULL,NRAS,"NRAS proto-oncogene, GTPase",4893,16,0,1,0.004818595,NULL,NULL,NULL
NULL,ODC1,ornithine decarboxylase 1,4953,19,0,1,0.00000306,NULL,NULL,NULL
NULL,ORC1,origin recognition complex subunit 1,4998,17,0,1,0.000986749,NULL,NULL,NULL
NULL,ORC2,origin recognition complex subunit 2,4999,18,0,1,0.001387913,NULL,NULL,NULL
NULL,CLDN11,claudin 11,5010,17,0,1,0.000986749,NULL,NULL,NULL
NULL,P2RX5,purinergic receptor P2X 5,5026,10,1,0,0.000259316,NULL,NULL,NULL
NULL,PA2G4,proliferation-associated 2G4,5036,19,0,1,0.000273358,NULL,NULL,NULL
NULL,PAFAH1B3,platelet activating factor acetylhydrolase 1b catalytic subunit 3,5050,20,0,1,0.002548858,NULL,NULL,NULL
NULL,SERPINB2,serpin family B member 2,5055,18,1,0,0.00000986,NULL,NULL,NULL
NULL,PAM,peptidylglycine alpha-amidating monooxygenase,5066,21,1,0,2.36E-08,NULL,NULL,NULL
NULL,PCK2,"phosphoenolpyruvate carboxykinase 2, mitochondrial",5106,21,0,1,0.000553004,NULL,NULL,NULL
NULL,PCNA,proliferating cell nuclear antigen,5111,20,0,1,0.00000519,NULL,NULL,NULL
NULL,PCNT,pericentrin,5116,21,0,1,0.0033472,NULL,NULL,NULL
NULL,PCOLCE,procollagen C-endopeptidase enhancer,5118,20,0,1,0.00000519,NULL,NULL,NULL
NULL,PDK2,pyruvate dehydrogenase kinase 2,5164,20,1,0,0.00021949,NULL,NULL,NULL
NULL,ENPP2,ectonucleotide pyrophosphatase/phosphodiesterase 2,5168,21,0,1,0.0033472,NULL,NULL,NULL
NULL,SERPINF1,serpin family F member 1,5176,15,0,1,0.0000455,NULL,NULL,NULL
NULL,PFAS,phosphoribosylformylglycinamidine synthase,5198,18,0,1,0.00000172,NULL,NULL,NULL
NULL,PFKP,"phosphofructokinase, platelet",5214,20,0,1,0.002548858,NULL,NULL,NULL
NULL,SERPINI1,serpin family I member 1,5274,18,1,0,0.000101565,NULL,NULL,NULL
NULL,PIM1,"Pim-1 proto-oncogene, serine/threonine kinase",5292,20,0,1,0.002548858,NULL,NULL,NULL
NULL,PLAT,"plasminogen activator, tissue type",5327,19,1,0,0.00000139,NULL,NULL,NULL
NULL,PLCB4,phospholipase C beta 4,5332,20,1,0,0.0000251,NULL,NULL,NULL
NULL,PLK1,polo like kinase 1,5347,18,0,1,0.00000172,NULL,NULL,NULL
NULL,PLOD1,"procollagen-lysine,2-oxoglutarate 5-dioxygenase 1",5351,20,1,0,0.00021949,NULL,NULL,NULL
NULL,PLOD2,"procollagen-lysine,2-oxoglutarate 5-dioxygenase 2",5352,21,1,0,0.0000382,NULL,NULL,NULL
NULL,EXOSC9,exosome component 9,5393,17,0,1,0.000120396,NULL,NULL,NULL
NULL,PRRX1,paired related homeobox 1,5396,19,0,1,0.000273358,NULL,NULL,NULL
NULL,PODXL,podocalyxin like,5420,17,1,0,0.004278705,NULL,NULL,NULL
NULL,POLA1,"DNA polymerase alpha 1, catalytic subunit",5422,14,0,1,0.00000178,NULL,NULL,NULL
NULL,POLD1,"DNA polymerase delta 1, catalytic subunit",5424,20,0,1,0.00039374,NULL,NULL,NULL
NULL,POLD2,"DNA polymerase delta 2, accessory subunit",5425,21,0,1,0.0000752,NULL,NULL,NULL
NULL,POLE,"DNA polymerase epsilon, catalytic subunit",5426,19,0,1,0.000273358,NULL,NULL,NULL
NULL,POLE2,"DNA polymerase epsilon 2, accessory subunit",5427,20,0,1,0.00000519,NULL,NULL,NULL
NULL,POLR2D,RNA polymerase II subunit D,5433,19,0,1,0.001902323,NULL,NULL,NULL
NULL,CTSA,cathepsin A,5476,15,1,0,0.002324938,NULL,NULL,NULL
NULL,PPP1CC,protein phosphatase 1 catalytic subunit gamma,5501,21,0,1,0.00000849,NULL,NULL,NULL
NULL,PPP1R3C,protein phosphatase 1 regulatory subunit 3C,5507,15,1,0,0.0000246,NULL,NULL,NULL
NULL,PRIM1,DNA primase subunit 1,5557,18,0,1,0.00000172,NULL,NULL,NULL
NULL,PRIM2,DNA primase subunit 2,5558,20,0,1,0.0000498,NULL,NULL,NULL
NULL,PRKAR2B,protein kinase cAMP-dependent type II regulatory subunit beta,5577,19,0,1,0.001902323,NULL,NULL,NULL
NULL,PRNP,prion protein,5621,17,1,0,0.0000659,NULL,NULL,NULL
NULL,PRPS1,phosphoribosyl pyrophosphate synthetase 1,5631,20,1,0,0.00021949,NULL,NULL,NULL
NULL,PRPS2,phosphoribosyl pyrophosphate synthetase 2,5634,17,0,1,0.000120396,NULL,NULL,NULL
NULL,PRRG1,proline rich and Gla domain 1,5638,19,1,0,0.001163626,NULL,NULL,NULL
NULL,MASP1,mannan binding lectin serine peptidase 1,5648,20,1,0,0.001568256,NULL,NULL,NULL
NULL,HTRA1,HtrA serine peptidase 1,5654,16,1,0,0.003195709,NULL,NULL,NULL
NULL,PSG1,pregnancy specific beta-1-glycoprotein 1,5669,16,1,0,0.00000328,NULL,NULL,NULL
NULL,PSG2,pregnancy specific beta-1-glycoprotein 2,5670,14,1,0,0.0000139,NULL,NULL,NULL
NULL,PSG4,pregnancy specific beta-1-glycoprotein 4,5672,13,1,0,0.000000394,NULL,NULL,NULL
NULL,PSG5,pregnancy specific beta-1-glycoprotein 5,5673,12,1,0,0.00000363,NULL,NULL,NULL
NULL,PSG6,pregnancy specific beta-1-glycoprotein 6,5675,17,1,0,0.00000582,NULL,NULL,NULL
NULL,PSG7,solute carrier family 38 member 1,5676,9,1,0,0.000000198,NULL,NULL,NULL
NULL,PSG9,pregnancy specific beta-1-glycoprotein 9,5678,14,1,0,0.000172564,NULL,NULL,NULL
NULL,PSME1,proteasome activator subunit 1,5720,21,0,1,0.0033472,NULL,NULL,NULL
NULL,PTBP1,polypyrimidine tract binding protein 1,5725,20,0,1,0.00039374,NULL,NULL,NULL
NULL,PTGS1,prostaglandin-endoperoxide synthase 1,5742,16,0,1,0.004818595,NULL,NULL,NULL
NULL,PTMA,prothymosin alpha,5757,17,0,1,0.000120396,NULL,NULL,NULL
NULL,PTPRK,protein tyrosine phosphatase receptor type K,5796,20,1,0,0.00021949,NULL,NULL,NULL
NULL,PTPRM,protein tyrosine phosphatase receptor type M,5797,19,1,0,0.001163626,NULL,NULL,NULL
NULL,PTX3,pentraxin 3,5806,16,0,1,0.004818595,NULL,NULL,NULL
NULL,PXMP2,peroxisomal membrane protein 2,5827,20,0,1,0.00000519,NULL,NULL,NULL
NULL,RAD21,RAD21 cohesin complex component,5885,18,0,1,0.00018442,NULL,NULL,NULL
NULL,RAD51,RAD51 recombinase,5888,18,0,1,0.0000198,NULL,NULL,NULL
NULL,RAD51D,RAD51 paralog D,5892,17,0,1,0.006415198,NULL,NULL,NULL
NULL,RANBP1,RAN binding protein 1,5902,19,0,1,0.00000024,NULL,NULL,NULL
NULL,RARRES3,phospholipase A and acyltransferase 4,5920,19,1,0,0.001163626,NULL,NULL,NULL
NULL,RBBP7,"RB binding protein 7, chromatin remodeling factor",5931,20,0,1,0.0000498,NULL,NULL,NULL
NULL,RBBP8,"RB binding protein 8, endonuclease",5932,21,0,1,0.000553004,NULL,NULL,NULL
NULL,RBL1,RB transcriptional corepressor like 1,5933,19,0,1,0.001902323,NULL,NULL,NULL
NULL,RBP1,retinol binding protein 1,5947,19,0,1,0.001902323,NULL,NULL,NULL
NULL,RFC2,replication factor C subunit 2,5982,19,0,1,0.000273358,NULL,NULL,NULL
NULL,RFC3,replication factor C subunit 3,5983,20,0,1,0.00000519,NULL,NULL,NULL
NULL,RFC4,replication factor C subunit 4,5984,18,0,1,0.00000172,NULL,NULL,NULL
NULL,RPA3,replication protein A3,6119,19,0,1,0.000032,NULL,NULL,NULL
NULL,RPL4,ribosomal protein L4,6124,10,0,1,0.004356126,NULL,NULL,NULL
NULL,RPL5,ribosomal protein L5,6125,11,0,1,0.006447211,NULL,NULL,NULL
NULL,MRPL23,mitochondrial ribosomal protein L23,6150,17,0,1,0.000986749,NULL,NULL,NULL
NULL,RPS9,ribosomal protein S9,6203,17,0,1,0.000986749,NULL,NULL,NULL
NULL,RPS16,ribosomal protein S16,6217,17,0,1,0.006415198,NULL,NULL,NULL
NULL,RRAS,RAS related,6237,20,1,0,0.001568256,NULL,NULL,NULL
NULL,RRM1,ribonucleotide reductase catalytic subunit M1,6240,15,0,1,0.000453984,NULL,NULL,NULL
NULL,RRM2,ribonucleotide reductase regulatory subunit M2,6241,21,0,1,6.29E-08,NULL,NULL,NULL
NULL,SORT1,sortilin 1,6272,19,1,0,0.000151463,NULL,NULL,NULL
NULL,SAFB,scaffold attachment factor B,6294,13,0,1,0.000177152,NULL,NULL,NULL
NULL,SAT1,spermidine/spermine N1-acetyltransferase 1,6303,20,1,0,0.000000185,NULL,NULL,NULL
NULL,SCD,stearoyl-CoA desaturase,6319,20,0,1,0.00039374,NULL,NULL,NULL
NULL,CXCL12,C-X-C motif chemokine ligand 12,6387,21,0,1,0.000000799,NULL,NULL,NULL
NULL,SELENOW,selenoprotein W,6415,20,1,0,0.00021949,NULL,NULL,NULL
NULL,SET,SET nuclear proto-oncogene,6418,21,0,1,0.0033472,NULL,NULL,NULL
NULL,SFPQ,splicing factor proline and glutamine rich,6421,20,0,1,0.000000449,NULL,NULL,NULL
NULL,SFRP1,secreted frizzled related protein 1,6422,17,0,1,0.006415198,NULL,NULL,NULL
NULL,SRSF3,serine and arginine rich splicing factor 3,6428,20,0,1,0.00000519,NULL,NULL,NULL
NULL,SRSF7,serine and arginine rich splicing factor 7,6432,18,0,1,0.0000198,NULL,NULL,NULL
NULL,TRA2B,transformer 2 beta homolog,6434,21,0,1,0.0000752,NULL,NULL,NULL
NULL,SGSH,N-sulfoglucosamine sulfohydrolase,6448,16,1,0,0.000409243,NULL,NULL,NULL
NULL,SHMT2,serine hydroxymethyltransferase 2,6472,15,0,1,0.0000455,NULL,NULL,NULL
NULL,STIL,STIL centriolar assembly protein,6491,19,0,1,0.000273358,NULL,NULL,NULL
NULL,SKP2,S-phase kinase associated protein 2,6502,19,0,1,0.000032,NULL,NULL,NULL
NULL,SLC1A1,solute carrier family 1 member 1,6505,20,1,0,6.42E-10,NULL,NULL,NULL
NULL,SLC1A3,solute carrier family 1 member 3,6507,20,0,1,0.002548858,NULL,NULL,NULL
NULL,SLC20A2,solute carrier family 20 member 2,6575,20,1,0,0.00021949,NULL,NULL,NULL
NULL,SMPD1,sphingomyelin phosphodiesterase 1,6609,20,1,0,0.0000251,NULL,NULL,NULL
NULL,SNRPA,small nuclear ribonucleoprotein polypeptide A,6626,20,0,1,0.0000498,NULL,NULL,NULL
NULL,SNRPB,small nuclear ribonucleoprotein polypeptides B and B1,6628,20,0,1,0.002548858,NULL,NULL,NULL
NULL,SNRPB2,small nuclear ribonucleoprotein polypeptide B2,6629,21,0,1,0.0033472,NULL,NULL,NULL
NULL,SNRPC,small nuclear ribonucleoprotein polypeptide C,6631,21,0,1,0.000553004,NULL,NULL,NULL
NULL,SNRPD1,small nuclear ribonucleoprotein D1 polypeptide,6632,20,0,1,0.000000449,NULL,NULL,NULL
NULL,SNRPE,small nuclear ribonucleoprotein polypeptide E,6635,17,0,1,0.000120396,NULL,NULL,NULL
NULL,SNRPF,small nuclear ribonucleoprotein polypeptide F,6636,20,0,1,0.000000449,NULL,NULL,NULL
NULL,SOX4,SRY-box transcription factor 4,6659,19,1,0,0.001163626,NULL,NULL,NULL
NULL,SOX11,SRY-box transcription factor 11,6664,17,0,1,0.000120396,NULL,NULL,NULL
NULL,SPARC,secreted protein acidic and cysteine rich,6678,21,1,0,0.000000332,NULL,NULL,NULL
NULL,SSRP1,structure specific recognition protein 1,6749,16,0,1,0.000000465,NULL,NULL,NULL
NULL,STAT1,signal transducer and activator of transcription 1,6772,20,1,0,0.0000251,NULL,NULL,NULL
NULL,STC1,stanniocalcin 1,6781,21,1,0,0.00031014,NULL,NULL,NULL
NULL,AURKA,aurora kinase A,6790,20,0,1,1.9E-09,NULL,NULL,NULL
NULL,SVIL,supervillin,6840,14,1,0,0.000172564,NULL,NULL,NULL
NULL,VAMP2,vesicle associated membrane protein 2,6844,18,1,0,0.000843996,NULL,NULL,NULL
NULL,SYT1,synaptotagmin 1,6857,17,1,0,0.000596519,NULL,NULL,NULL
NULL,TAF5,TATA-box binding protein associated factor 5,6877,18,0,1,0.00018442,NULL,NULL,NULL
NULL,TAF13,TATA-box binding protein associated factor 13,6884,14,1,0,0.001640363,NULL,NULL,NULL
NULL,TAP1,"transporter 1, ATP binding cassette subfamily B member",6890,17,1,0,0.000596519,NULL,NULL,NULL
NULL,TAPBP,TAP binding protein,6892,20,1,0,0.001568256,NULL,NULL,NULL
NULL,TCF3,transcription factor 3,6929,21,0,1,0.0000752,NULL,NULL,NULL
NULL,TCF19,transcription factor 19,6941,20,0,1,0.00000519,NULL,NULL,NULL
NULL,TCOF1,treacle ribosome biogenesis factor 1,6949,21,0,1,0.0033472,NULL,NULL,NULL
NULL,TCP1,t-complex 1,6950,8,0,1,0.001637771,NULL,NULL,NULL
NULL,DYNLT3,dynein light chain Tctex-type 3,6990,21,1,0,0.000000332,NULL,NULL,NULL
NULL,TFAM,"transcription factor A, mitochondrial",7019,18,0,1,0.00018442,NULL,NULL,NULL
NULL,TGFB2,transforming growth factor beta 2,7042,14,1,0,0.0000139,NULL,NULL,NULL
NULL,TGM2,transglutaminase 2,7052,19,1,0,0.001163626,NULL,NULL,NULL
NULL,THBS1,thrombospondin 1,7057,19,1,0,0.001163626,NULL,NULL,NULL
NULL,TIMP2,TIMP metallopeptidase inhibitor 2,7077,19,1,0,0.000016,NULL,NULL,NULL
NULL,TIMP3,TIMP metallopeptidase inhibitor 3,7078,20,1,0,0.00021949,NULL,NULL,NULL
NULL,TK1,thymidine kinase 1,7083,21,0,1,4.13E-09,NULL,NULL,NULL
NULL,TLR3,toll like receptor 3,7098,17,1,0,0.004278705,NULL,NULL,NULL
NULL,GPR137B,G protein-coupled receptor 137B,7107,18,1,0,0.00000986,NULL,NULL,NULL
NULL,TMPO,thymopoietin,7112,21,0,1,0.000000799,NULL,NULL,NULL
NULL,TNFRSF1B,TNF receptor superfamily member 1B,7133,17,0,1,0.006415198,NULL,NULL,NULL
NULL,TOP2A,DNA topoisomerase II alpha,7153,19,0,1,0.00000024,NULL,NULL,NULL
NULL,TPM1,tropomyosin 1,7168,21,1,0,0.002071502,NULL,NULL,NULL
NULL,TPM2,tropomyosin 2,7169,20,1,0,0.001568256,NULL,NULL,NULL
NULL,TTF1,transcription termination factor 1,7270,16,0,1,0.004818595,NULL,NULL,NULL
NULL,TTK,TTK protein kinase,7272,19,0,1,1.55E-08,NULL,NULL,NULL
NULL,TWIST1,twist family bHLH transcription factor 1,7291,19,0,1,0.001902323,NULL,NULL,NULL
NULL,TYMS,thymidylate synthetase,7298,21,0,1,0.000000799,NULL,NULL,NULL
NULL,UBE2H,ubiquitin conjugating enzyme E2 H,7328,20,1,0,0.001568256,NULL,NULL,NULL
NULL,UCHL1,ubiquitin C-terminal hydrolase L1,7345,16,1,0,0.003195709,NULL,NULL,NULL
NULL,UMPS,uridine monophosphate synthetase,7372,20,0,1,0.00039374,NULL,NULL,NULL
NULL,USP1,ubiquitin specific peptidase 1,7398,19,0,1,0.000032,NULL,NULL,NULL
NULL,VRK1,VRK serine/threonine kinase 1,7443,17,0,1,0.000120396,NULL,NULL,NULL
NULL,WFS1,wolframin ER transmembrane glycoprotein,7466,19,1,0,0.000151463,NULL,NULL,NULL
NULL,WNT5A,Wnt family member 5A,7474,20,1,0,0.001568256,NULL,NULL,NULL
NULL,XPO1,exportin 1,7514,21,0,1,0.0033472,NULL,NULL,NULL
NULL,ZNF711,zinc finger protein 711,7552,17,0,1,0.0000118,NULL,NULL,NULL
NULL,ZNF22,zinc finger protein 22,7570,21,0,1,6.29E-08,NULL,NULL,NULL
NULL,ZFAND5,zinc finger AN1-type containing 5,7763,20,1,0,0.001568256,NULL,NULL,NULL
NULL,BTG2,BTG anti-proliferation factor 2,7832,18,1,0,0.000101565,NULL,NULL,NULL
NULL,RNF103,ring finger protein 103,7844,17,1,0,0.004278705,NULL,NULL,NULL
NULL,MALL,"mal, T cell differentiation protein like",7851,17,0,1,0.0000118,NULL,NULL,NULL
NULL,SCG2,secretogranin II,7857,17,1,0,0.004278705,NULL,NULL,NULL
NULL,REEP5,receptor accessory protein 5,7905,20,1,0,0.001568256,NULL,NULL,NULL
NULL,DEK,DEK proto-oncogene,7913,21,0,1,6.29E-08,NULL,NULL,NULL
NULL,YEATS4,YEATS domain containing 4,8089,19,0,1,0.000273358,NULL,NULL,NULL
NULL,HMGA2,high mobility group AT-hook 2,8091,17,0,1,0.006415198,NULL,NULL,NULL
NULL,PABPN1,poly(A) binding protein nuclear 1,8106,11,0,1,0.006447211,NULL,NULL,NULL
NULL,ANP32A,acidic nuclear phosphoprotein 32 family member A,8125,15,0,1,0.000453984,NULL,NULL,NULL
NULL,SLC7A5,solute carrier family 7 member 5,8140,19,0,1,0.001902323,NULL,NULL,NULL
NULL,CHAF1B,chromatin assembly factor 1 subunit B,8208,18,0,1,0.0000198,NULL,NULL,NULL
NULL,GTPBP6,GTP binding protein 6 (putative),8225,19,0,1,0.001902323,NULL,NULL,NULL
NULL,CDC7,cell division cycle 7,8317,18,0,1,0.00000172,NULL,NULL,NULL
NULL,CDC45,cell division cycle 45,8318,19,0,1,0.00000024,NULL,NULL,NULL
NULL,FZD8,frizzled class receptor 8,8325,12,1,0,0.0000597,NULL,NULL,NULL
NULL,HIST1H2AJ,H2A clustered histone 14,8331,14,0,1,0.002501721,NULL,NULL,NULL
NULL,HIST1H2AC,H2A clustered histone 6,8334,19,1,0,9.86E-08,NULL,NULL,NULL
NULL,HIST1H2BE,H2B clustered histone 6,8344,13,1,0,0.001116149,NULL,NULL,NULL
NULL,HIST1H2BC,H2B clustered histone 4,8347,18,1,0,0.000000777,NULL,NULL,NULL
NULL,HIST2H2BE,H2B clustered histone 21,8349,19,1,0,0.00000139,NULL,NULL,NULL
NULL,HIST1H3I,H3 clustered histone 11,8354,15,0,1,0.003525589,NULL,NULL,NULL
NULL,HIST1H3J,H3 clustered histone 12,8356,10,0,1,0.000404718,NULL,NULL,NULL
NULL,HIST1H4C,H4 clustered histone 3,8364,13,0,1,0.0000138,NULL,NULL,NULL
NULL,HIST1H4H,H4 clustered histone 8,8365,17,1,0,2.35E-08,NULL,NULL,NULL
NULL,RAD54L,RAD54 like,8438,15,0,1,0.000453984,NULL,NULL,NULL
NULL,PIK3R3,phosphoinositide-3-kinase regulatory subunit 3,8503,15,1,0,0.0000246,NULL,NULL,NULL
NULL,ENC1,ectodermal-neural cortex 1,8507,20,1,0,0.0000251,NULL,NULL,NULL
NULL,HAT1,histone acetyltransferase 1,8520,20,0,1,0.002548858,NULL,NULL,NULL
NULL,KHSRP,KH-type splicing regulatory protein,8570,19,0,1,0.000273358,NULL,NULL,NULL
NULL,PLA2G4C,phospholipase A2 group IVC,8605,15,1,0,0.00000174,NULL,NULL,NULL
NULL,RUVBL1,RuvB like AAA ATPase 1,8607,20,0,1,0.002548858,NULL,NULL,NULL
NULL,STC2,stanniocalcin 2,8614,20,1,0,0.00000237,NULL,NULL,NULL
NULL,DCHS1,dachsous cadherin-related 1,8642,17,0,1,0.000986749,NULL,NULL,NULL
NULL,PEA15,proliferation and apoptosis adaptor protein 15,8682,21,1,0,0.00031014,NULL,NULL,NULL
NULL,CTSF,cathepsin F,8722,21,1,0,0.0000039,NULL,NULL,NULL
NULL,CTNNAL1,catenin alpha like 1,8727,21,0,1,0.0000752,NULL,NULL,NULL
NULL,ADAM19,ADAM metallopeptidase domain 19,8728,19,1,0,0.001163626,NULL,NULL,NULL
NULL,TNFSF10,TNF superfamily member 10,8743,17,1,0,0.000596519,NULL,NULL,NULL
NULL,ADAM23,ADAM metallopeptidase domain 23,8745,20,1,0,0.00021949,NULL,NULL,NULL
NULL,RIOK3,RIO kinase 3,8780,19,1,0,0.001163626,NULL,NULL,NULL
NULL,TNFRSF10D,TNF receptor superfamily member 10d,8793,15,1,0,0.000271213,NULL,NULL,NULL
NULL,TNFRSF10B,TNF receptor superfamily member 10b,8795,20,1,0,0.001568256,NULL,NULL,NULL
NULL,SUCLG2,succinate-CoA ligase GDP-forming subunit beta,8801,19,0,1,0.001902323,NULL,NULL,NULL
NULL,CREG1,cellular repressor of E1A stimulated genes 1,8804,21,1,0,0.0000382,NULL,NULL,NULL
NULL,BANF1,BAF nuclear assembly factor 1,8815,20,0,1,0.0000498,NULL,NULL,NULL
NULL,GMPS,guanine monophosphate synthase,8833,21,0,1,0.000000799,NULL,NULL,NULL
NULL,SOCS2,suppressor of cytokine signaling 2,8835,20,0,1,0.0000498,NULL,NULL,NULL
NULL,GGH,gamma-glutamyl hydrolase,8836,21,0,1,0.0033472,NULL,NULL,NULL
NULL,TSC22D1,TSC22 domain family member 1,8848,18,1,0,0.000843996,NULL,NULL,NULL
NULL,SPHK1,sphingosine kinase 1,8877,17,0,1,0.006415198,NULL,NULL,NULL
NULL,FUBP1,far upstream element binding protein 1,8880,20,0,1,0.002548858,NULL,NULL,NULL
NULL,SLC5A6,solute carrier family 5 member 6,8884,18,0,1,0.00018442,NULL,NULL,NULL
NULL,DDX18,DEAD-box helicase 18,8886,19,0,1,0.000032,NULL,NULL,NULL
NULL,TIMELESS,timeless circadian regulator,8914,19,0,1,0.001902323,NULL,NULL,NULL
NULL,H1FX,H1.10 linker histone,8971,20,0,1,0.002548858,NULL,NULL,NULL
NULL,P4HA2,prolyl 4-hydroxylase subunit alpha 2,8974,15,1,0,0.002324938,NULL,NULL,NULL
NULL,SELENBP1,selenium binding protein 1,8991,18,0,1,0.001387913,NULL,NULL,NULL
NULL,ATP6V0E1,ATPase H+ transporting V0 subunit e1,8992,20,1,0,0.00000237,NULL,NULL,NULL
NULL,TAF1B,"TATA-box binding protein associated factor, RNA polymerase I subunit B",9014,19,0,1,0.001902323,NULL,NULL,NULL
NULL,TAF1A,"TATA-box binding protein associated factor, RNA polymerase I subunit A",9015,16,0,1,0.004818595,NULL,NULL,NULL
NULL,BAZ1B,bromodomain adjacent to zinc finger domain 1B,9031,19,0,1,0.001902323,NULL,NULL,NULL
NULL,PSTPIP2,proline-serine-threonine phosphatase interacting protein 2,9050,19,1,0,0.001163626,NULL,NULL,NULL
NULL,PRC1,protein regulator of cytokinesis 1,9055,16,0,1,0.000000465,NULL,NULL,NULL
NULL,PAPSS2,3'-phosphoadenosine 5'-phosphosulfate synthase 2,9060,19,1,0,0.001163626,NULL,NULL,NULL
NULL,CLDN1,claudin 1,9076,19,1,0,9.86E-08,NULL,NULL,NULL
NULL,LDB2,LIM domain binding 2,9079,17,0,1,0.000120396,NULL,NULL,NULL
NULL,PKMYT1,"protein kinase, membrane associated tyrosine/threonine 1",9088,17,0,1,0.000120396,NULL,NULL,NULL
NULL,NMI,N-myc and STAT interactor,9111,18,0,1,0.001387913,NULL,NULL,NULL
NULL,ATP6V0D1,ATPase H+ transporting V0 subunit d1,9114,20,1,0,0.001568256,NULL,NULL,NULL
NULL,INA,internexin neuronal intermediate filament protein alpha,9118,17,1,0,0.00000582,NULL,NULL,NULL
NULL,SLC16A3,solute carrier family 16 member 3,9123,15,1,0,0.002324938,NULL,NULL,NULL
NULL,SMC3,structural maintenance of chromosomes 3,9126,19,0,1,0.00000306,NULL,NULL,NULL
NULL,PRPF4,pre-mRNA processing factor 4,9128,19,0,1,0.00000306,NULL,NULL,NULL
NULL,CCNB2,cyclin B2,9133,19,0,1,0.00000306,NULL,NULL,NULL
NULL,CCNE2,cyclin E2,9134,19,0,1,0.001902323,NULL,NULL,NULL
NULL,SYNGR2,synaptogyrin 2,9144,17,1,0,0.004278705,NULL,NULL,NULL
NULL,SYNGR1,synaptogyrin 1,9145,16,1,0,0.000409243,NULL,NULL,NULL
NULL,EXO1,exonuclease 1,9156,21,0,1,2.26E-10,NULL,NULL,NULL
NULL,ZW10,zw10 kinetochore protein,9183,21,0,1,0.0033472,NULL,NULL,NULL
NULL,BUB3,BUB3 mitotic checkpoint protein,9184,21,0,1,0.0033472,NULL,NULL,NULL
NULL,AURKB,aurora kinase B,9212,20,0,1,0.000000449,NULL,NULL,NULL
NULL,PTTG1,"PTTG1 regulator of sister chromatid separation, securin",9232,18,0,1,0.00000172,NULL,NULL,NULL
NULL,DHRS3,dehydrogenase/reductase 3,9249,20,1,0,0.00021949,NULL,NULL,NULL
NULL,PTER,phosphotriesterase related,9317,18,0,1,0.00018442,NULL,NULL,NULL
NULL,TRIP13,thyroid hormone receptor interactor 13,9319,20,0,1,3.21E-08,NULL,NULL,NULL
NULL,SLIT2,slit guidance ligand 2,9353,17,0,1,5.81E-08,NULL,NULL,NULL
NULL,SNRNP40,small nuclear ribonucleoprotein U5 subunit 40,9410,21,0,1,0.0033472,NULL,NULL,NULL
NULL,ARHGAP29,Rho GTPase activating protein 29,9411,17,1,0,0.0000659,NULL,NULL,NULL
NULL,ITM2B,integral membrane protein 2B,9445,19,1,0,0.000016,NULL,NULL,NULL
NULL,KIF23,kinesin family member 23,9493,21,0,1,6.29E-08,NULL,NULL,NULL
NULL,GDF15,growth differentiation factor 15,9518,17,1,0,0.0000659,NULL,NULL,NULL
NULL,EEF1E1,eukaryotic translation elongation factor 1 epsilon 1,9521,16,0,1,0.000680977,NULL,NULL,NULL
NULL,TMEM59,transmembrane protein 59,9528,21,1,0,0.00031014,NULL,NULL,NULL
NULL,ATP6V1G1,ATPase H+ transporting V1 subunit G1,9550,21,1,0,0.0000382,NULL,NULL,NULL
NULL,PREPL,prolyl endopeptidase like,9581,19,1,0,0.001163626,NULL,NULL,NULL
NULL,APOBEC3B,apolipoprotein B mRNA editing enzyme catalytic subunit 3B,9582,11,0,1,0.000696728,NULL,NULL,NULL
NULL,KIF20B,kinesin family member 20B,9585,20,0,1,0.0000498,NULL,NULL,NULL
NULL,AKAP12,A-kinase anchoring protein 12,9590,21,0,1,0.0033472,NULL,NULL,NULL
NULL,IER2,immediate early response 2,9592,16,0,1,0.000680977,NULL,NULL,NULL
NULL,RIN1,Ras and Rab interactor 1,9610,21,0,1,0.0033472,NULL,NULL,NULL
NULL,SNCAIP,synuclein alpha interacting protein,9627,17,0,1,0.006415198,NULL,NULL,NULL
NULL,ISG15,ISG15 ubiquitin like modifier,9636,19,1,0,0.000151463,NULL,NULL,NULL
NULL,SH3PXD2A,SH3 and PX domains 2A,9644,16,1,0,0.003195709,NULL,NULL,NULL
NULL,CEP135,centrosomal protein 135,9662,19,0,1,0.001902323,NULL,NULL,NULL
NULL,IPO13,importin 13,9670,20,1,0,0.001568256,NULL,NULL,NULL
NULL,ESPL1,"extra spindle pole bodies like 1, separase",9700,18,0,1,0.00018442,NULL,NULL,NULL
NULL,CEP57,centrosomal protein 57,9702,19,0,1,0.001902323,NULL,NULL,NULL
NULL,HDAC9,histone deacetylase 9,9734,20,1,0,0.001568256,NULL,NULL,NULL
NULL,KNTC1,kinetochore associated 1,9735,16,0,1,0.0000757,NULL,NULL,NULL
NULL,SNPH,syntaphilin,9751,16,1,0,0.003195709,NULL,NULL,NULL
NULL,PCLAF,PCNA clamp associated factor,9768,21,0,1,6.29E-08,NULL,NULL,NULL
NULL,EIF4A3,eukaryotic translation initiation factor 4A3,9775,21,0,1,0.0000752,NULL,NULL,NULL
