"id_gene","symbol","name","organism","functions","phenotype","homologues","reference","pubmed","mouse_homologs","yeast_homologs","fly_homologs","worm_homologs","entrez_id","unigene","ensembl","uniprot","alias","hidden"
213,"pkg-1","EGg Laying defective","Caenorhabditis elegans","Cyclic GMP-dependant protein kinase involved in multiple signalling pathway","Mutations extend lifespan by up to 55%.","PRKG1","Hirose et al., 2003",12571101,"Prkg1","","","egl-4",176991,"Cel.24374","F55A8.2","","",NULL
214,"egl-45","EGg Laying defective","Caenorhabditis elegans","Translation initiation factor (eIF) complex","RNA interference in adulthood extended mean lifespan by 52%.","EIF3S10","Curran and Ruvkun, 2007",17411345,"Eif3a","RPG1","eIF3-S10","egl-45",176094,"Cel.17625","C27D11.1","","",NULL
215,"Egm","enigma","Drosophila melanogaster","Mitochondrial protein involved in lipid metabolism","Knockouts exhibit increased resistance to oxidative stress and extended lifespan.","","Mourikis et al., 2006",16434470,"","","","",36242,"Dm.11547","FBgn0086712","","Acyl CoA DH CG9006 Dmel\CG9006 egm l(2)k14708",NULL
216,"lin-40","abnormal cell LINeage","Caenorhabditis elegans","Histone deacetylation","RNA interference decreased median lifespan by 24% in wild type animals, 38% in a daf-2 background and 24% in daf-2/daf-16 double mutants.","MTA3","Samuelson et al., 2007",18006689,"","","","",178788,"Cel.36377","T27C4.4","","",NULL
217,"eif-3.B","Eukaryotic Initiation Factor","Caenorhabditis elegans","Translation initiation factor (eIF) complex","RNA interference in adulthood extended mean lifespan by 51%.","EIF3S9","Curran and Ruvkun, 2007",17411345,"Eif3b","PRT1","eIF3-S9","eif-3.B",175138,"Cel.16994","Y54E2A.11","","",NULL
218,"eif-3.F","Eukaryotic Initiation Factor","Caenorhabditis elegans","Translation initiation factor (eIF) complex","RNA interference in adulthood extended mean lifespan by 32%.","EIF3S5","Curran and Ruvkun, 2007",17411345,"Eif3f","","CG9769","eif-3.F",174478,"Cel.17162","D2013.7","","",NULL
219,"elo-5","fatty acid ELOngation","Caenorhabditis elegans","Polyunsaturated fatty acid (PUFA) elongase","RNA interference decreased median lifespan by 45% in wild type animals and 29% in daf-2 mutants.","ELOVL3","Samuelson et al., 2007",18006689,"","","","",177320,"Cel.6925","F41H10.7","","",NULL
220,"elt-6","Erythroid-Like Transcription factor family","Caenorhabditis elegans","Transcription factor","RNA interference increased mean lifespan by 34%.","","Kim et al., 2007",17608836,"","","","egl-18, elt-6",176993,"Cel.19342","F52C12.5","","",NULL
221,"epc-1","Enhancer of PolyComb-like","Caenorhabditis elegans","","RNA interference increased mean lifespan by 20%.","EPC1","Kim et al., 2007",17608836,"Epc2","","","epc-1",176679,"Cel.8438","Y111B2A.11","","",NULL
222,"Ercc2","Excision repair cross-complementing rodent repair deficiency, complementation group 2","Mus musculus","Helicase involved in DNA repair and condensation","Mutations increase cancer incidence and appear to accelerate ageing.","ERCC2","de Boer et al., 2002",11950998,"Ercc2","RAD3","Xpd","Y50D7A.2",13871,"Mm.36524","ENSMUSG00000030400","O08811","XPD CXPD Ercc-2 AA407812 AU020867 AW240756",NULL
223,"Ercc4","Excision repair cross-complementing rodent repair deficiency, complementation group 4","Mus musculus","Involved in DNA repair","ERCC4-ERCC1-deficient mice exhibited signs of premature ageing.","ERCC4","Niedernhofer et al., 2006",17183314,"Ercc4","RAD1","mei-9","",50505,"Mm.287837","ENSMUSG00000022545","Q9QZD4","Xpf AI606920",NULL
224,"erm-1","Ezrin/Radixin/Moesin","Caenorhabditis elegans","Radixin, moesin","RNA interference in adulthood resulted in a 15% mean lifespan extension.","MSN","Curran and Ruvkun, 2007",17411345,"Msn","","Moe","erm-1",172174,"Cel.5070","C01G8.5","","",NULL
225,"ero-1","Endoplasmic Reticulum Oxidase","Caenorhabditis elegans","Endoplasmic Reticulum Oxidase","RNA interference in adulthood resulted in a 32% mean lifespan extension.","ERO1L","Curran and Ruvkun, 2007",17411345,"Ero1l","ERO1","","ero-1",173325,"Cel.16217","Y105E8B.8","","",NULL
226,"qars-1","glutaminyl(Q) tRNA Synthetase","Caenorhabditis elegans","","RNA interference increased mean lifespan by 40%.","QARS","Kim et al., 2007",17608836,"Qars","GLN4","Aats-gln","ers-1",178415,"Cel.7782","Y41E3.4","","",NULL
227,"tkt-1","Protein TKT-1","Caenorhabditis elegans","Transketolase, involved in sugar-phosphate metabolism","RNA interference increased mean lifespan by 25%.","TKTL2","Kim et al., 2007",17608836,"","","","",177906,"Cel.8781","F01G10.1","","",NULL
228,"F08B4.7","Protein F08B4.7","Caenorhabditis elegans","Small nuclear ribonucleoprotein polypeptide C","RNA interference increased mean lifespan by 21%.","SNRPC","Kim et al., 2007",17608836,"Gm2991","","","F08B4.7",177674,"Cel.8748","F08B4.7","","",NULL
229,"clec-227","C-type LECtin","Caenorhabditis elegans","C-type lectin","RNA interference extends lifespan.","LRP12","Hamilton et al., 2005",15998808,"","","","",184216,"Cel.4210","F08H9.5","","",NULL
230,"F09F7.5","Protein F09F7.5","Caenorhabditis elegans","","RNA interference extends lifespan.","TCERG1","Hamilton et al., 2005",15998808,"","","","",175764,"Cel.10630","F09F7.5","","",NULL
231,"mrps-9","Protein MRPS-9","Caenorhabditis elegans","Could be a mitochondrial ribosomal protein","RNA interference increased mean lifespan by 60%.","MRPS9","Kim et al., 2007",17608836,"Mrps9","","mRpS9","F09G8.3",184267,"Cel.10624","F09G8.3","","",NULL
232,"F13B6.1","Protein F13B6.1","Caenorhabditis elegans","Homologue of mucin","RNA interference increased mean lifespan by 50%.","MUC17","Kim et al., 2007",17608836,"","","","",184407,"Cel.13144","F13B6.1","","",NULL
233,"F13G3.7","Protein F13G3.7","Caenorhabditis elegans","Predicted mitochondrial carrier protein","RNA interference extends lifespan by about 25%.","KIAA0446","Lee et al., 2003",12447374,"","","","",172478,"Cel.20342","F13G3.7","","",NULL
234,"F14B4.3","Protein F14B4.3","Caenorhabditis elegans","RNA polymerase I subunit","RNA interference in adulthood resulted in a 15% mean lifespan extension.","POLR1B","Chen et al., 2007",17521386,"Polr1b","RPA135","RpI135","F14B4.3",172752,"Cel.6204","F14B4.3","","",NULL
235,"set-9","SET (trithorax/polycomb) domain containing","Caenorhabditis elegans","PHD Zn-finger proteins","RNA interference extends lifespan.","MLL5","Hamilton et al., 2005",15998808,"","","","",177196,"Cel.21386","F15E6.1","","",NULL
236,"F19B6.1","Protein F19B6.1","Caenorhabditis elegans","Armadillo/beta-catenin/plakoglobin","RNA interference in adulthood resulted in a 35% mean lifespan extension.","UCKL1","Curran and Ruvkun, 2007",17411345,"","URK1","l(2)k01209","F19B6.1",178181,"Cel.22547","F19B6.1","","",NULL
237,"mrps-33","Protein MRPS-33","Caenorhabditis elegans","Could be a mitochodrial ribosomal protein","RNA interference increased mean lifespan by 36%.","MRPS33","Kim et al., 2007",17608836,"","","","",184770,"Cel.13091","F21D5.8","","",NULL
238,"F21H12.1","Protein F21H12.1","Caenorhabditis elegans","WD40 repeat protein","RNA interference extends lifespan.","RBBP5","Hamilton et al., 2005",15998808,"Rbbp5","SWD1","CG5585","F21H12.1",174019,"Cel.15343","F21H12.1","","",NULL
239,"daf-10","abnormal DAuer Formation","Caenorhabditis elegans","","Loss-of-function mutation increases lifespan up to 60%.","WDR10","Apfeld and Kenyon, 1999",10617200,"","","","",184883,"Cel.26567","F23B2.4","","",NULL
240,"symk-1","Protein SYMK-1","Caenorhabditis elegans","mRNA cleavage and polyadenylation","RNA interference in adulthood resulted in a 24% mean lifespan extension.","SYMPK","Curran and Ruvkun, 2007",17411345,"Sympk","","CG2097","F25G6.2",182490,"Cel.31512","F25G6.2","","",NULL
241,"F26A3.4","Protein F26A3.4","Caenorhabditis elegans","Dual-specificity phosphatase","RNA interference in adulthood resulted in a 27% mean lifespan extension.","DUSP21","Curran and Ruvkun, 2007",17411345,"","","","",172525,"Cel.18879","F26A3.4","","",NULL
242,"F26E4.4","Protein F26E4.4","Caenorhabditis elegans","Mitochondrial translation","RNA interference in adulthood resulted in a 17% mean lifespan extension.","AVEN","Chen et al., 2007",17521386,"","","","",259393,"Cel.18869","F26E4.4","","",NULL
243,"F26E4.6","Protein F26E4.6","Caenorhabditis elegans","Cytochrome c oxidase, subunit VIIc/COX8","RNA interference extends lifespan.","COX7C","Lee et al., 2003",12447374,"","","","",3565338,"Cel.23120","F26E4.6","","",NULL
244,"F28B3.5","Protein F28B3.5","Caenorhabditis elegans","","RNA interference extends lifespan by about 30%.","C10orf77","Lee et al., 2003",12447374,"4933427G17Rik","","","F28B3.5",172111,"Cel.18848","F28B3.5","","",NULL
245,"acs-20","Protein ACS-20","Caenorhabditis elegans","Fatty acid transporter","RNA interference decreased median lifespan by 50% in wild type animals and 70% in daf-2 mutants.","SLC27A4","Samuelson et al., 2007",18006689,"","","","",178190,"Cel.5847","F28D1.9","","",NULL
246,"CELE_F29C4.2","Protein F29C4.2","Caenorhabditis elegans","Cytochrome C oxidase polypeptide","RNA interference increased mean lifespan by 100%.","COX6C","Kim et al., 2007",17608836,"","","","",176828,"Cel.22887","F29C4.2","","",NULL
247,"usp-48","Protein USP-48","Caenorhabditis elegans","Ubiquitin C-terminal hydrolase","RNA interference decreased median lifespan by 53% in a daf-2 background and 18% in daf-2/daf-16 double mutants.","USP48","Samuelson et al., 2007",18006689,"","","","",172782,"Cel.5392","F30A10.10","","",NULL
248,"sac-1","Protein SAC-1","Caenorhabditis elegans","Inositol polyphosphate-5- phosphatase","RNA interference decreased median lifespan by 25% in wild type animals and 40% in daf-2 mutants.","SACM1L","Samuelson et al., 2007",18006689,"Sacm1l","SAC1","Sac1","F30A10.6",172778,"Cel.18827","F30A10.6","","",NULL
249,"F33D4.5","Protein F33D4.5","Caenorhabditis elegans","Ribosomal protein of the L1p/L10e family","RNA interference increased mean lifespan by 45%.","MRPL1","Kim et al., 2007",17608836,"Mrpl1","","mRpL1","F33D4.5",177549,"Cel.13029","F33D4.5","","",NULL
250,"F33H2.8","Protein F33H2.8","Caenorhabditis elegans","","RNA interference decreased median lifespan by 36% in wild type animals, 77% in a daf-2 background and 18% in daf-2/daf-16 double mutants.","RNF139","Samuelson et al., 2007",18006689,"","","","",185238,"Cel.25000","F33H2.8","","",NULL
251,"F35D2.3","Protein F35D2.3","Caenorhabditis elegans","Fibrillins and related proteins containing Ca2+-binding EGF-like domains","RNA interference extends lifespan.","TNC","Lee et al., 2003",12447374,"","","","",174229,"Cel.17232","F35D2.3","","",NULL
252,"F37C4.4","Protein F37C4.4","Caenorhabditis elegans","","RNA interference decreased median lifespan by 34% in a daf-2 background and 11% in daf-2/daf-16 double mutants.","","Samuelson et al., 2007",18006689,"","","","",177145,"Cel.12998","F37C4.4","","",NULL
253,"CELE_F40F12.7","Protein F40F12.7","Caenorhabditis elegans","Similar to CBP/P300","RNA interference decreased median lifespan by 43% in daf-2 mutants.","CREBBP","Samuelson et al., 2007",18006689,"","","","",176402,"Cel.18119","F40F12.7","","",NULL
254,"F40F8.5","Protein F40F8.5","Caenorhabditis elegans","","RNA interference extends lifespan.","HRC","Hamilton et al., 2005",15998808,"","","","",174702,"Cel.34802","F40F8.5","","",NULL
255,"cutl-28","CUTiclin-Like","Caenorhabditis elegans","","RNA interference increased mean lifespan by 28%.","","Kim et al., 2007",17608836,"","","","",176895,"Cel.12970","F41A4.1","","",NULL
256,"F42A6.1","hypothetical protein","Caenorhabditis elegans","Olfactory receptor","RNA interference increased mean lifespan by 22%.","OR4A15","Kim et al., 2007",17608836,"","","","",185645,"Cel.12960","","","",NULL
257,"F42G10.1","Protein F42G10.1","Caenorhabditis elegans","","RNA interference extends lifespan.","ATF7IP","Oh et al., 2006",16380712,"","","","",181214,"Cel.5236","F42G10.1","","",NULL
258,"CELE_F43D2.1","Protein F43D2.1","Caenorhabditis elegans","Cyclin K","RNA interference decreased median lifespan by 20% in wild type animals, 34% in a daf-2 background and 35% in daf-2/daf-16 double mutants.","CCNK","Samuelson et al., 2007",18006689,"","","CycK","F43D2.1",185704,"Cel.26816","F43D2.1","","",NULL
259,"mtch-1","Protein MTCH-1","Caenorhabditis elegans","Mitochondrial carrier protein","RNA interference post-development extended mean lifespan by 21%.","MTCH2","Curran and Ruvkun, 2007",17411345,"Mtch2","","Mtch","F43E2.7",174207,"Cel.6405","F43E2.7","","",NULL
260,"idha-1","Protein IDHA-1","Caenorhabditis elegans","Isocitrate dehydrogenase, alpha subunit","RNA interference extends lifespan.","IDH3A","Hamilton et al., 2005",15998808,"Idh3a","IDH2","l(1)G0156","F43G9.1",172655,"Cel.17675","F43G9.1","","",NULL
261,"F49C12.9","Protein F49C12.9","Caenorhabditis elegans","Ubiquitin-associated","RNA interference increased mean lifespan by 19%.","UBL7","Kim et al., 2007",17608836,"","","","",177752,"Cel.5678","F49C12.9","","",NULL
262,"CELE_F49F1.12","Protein F49F1.12","Caenorhabditis elegans","","RNA interference extends lifespan.","RUNX1","Hamilton et al., 2005",15998808,"","","","",186068,"Cel.32635","F49F1.12","","",NULL
263,"CELE_F52C6.2","Protein F52C6.2","Caenorhabditis elegans","Ubiquitin-like protein","RNA interference decreased median lifespan by 19% in wild type animals and 46% in daf-2 mutants.","UBC","Samuelson et al., 2007",18006689,"","","","",173558,"Cel.34586","F52C6.2","","",NULL
264,"CELE_F53F4.11","Protein F53F4.11","Caenorhabditis elegans","","RNA interference in adulthood resulted in a 27% mean lifespan extension.","RSL1D1","Curran and Ruvkun, 2007",17411345,"","","CG13096","F53F4.11",179849,"Cel.17493","F53F4.11","","",NULL
265,"F55B11.1","Protein F55B11.1","Caenorhabditis elegans","","RNA interference extends lifespan.","XDH","Hamilton et al., 2005",15998808,"Xdh","","ry","F55B11.1",178381,"Cel.17088","F55B11.1","","",NULL
266,"F55B11.3","Protein F55B11.3","Caenorhabditis elegans","","RNA interference extends lifespan.","","Hamilton et al., 2005",15998808,"","","","",178383,"Cel.22428","F55B11.3","","",NULL
267,"F55B11.5","Protein F55B11.5","Caenorhabditis elegans","","RNA interference extends lifespan.","","Hamilton et al., 2005",15998808,"","","","",3565591,"Cel.31005","F55B11.5","","",NULL
268,"hpo-31","Protein HPO-31","Caenorhabditis elegans","tRNA nucleotidyltransferase","RNA interference decreased median lifespan by 52% in wild type animals, 44% in a daf-2 background and 14% in daf-2/daf-16 double mutants.","TRNT1","Samuelson et al., 2007",18006689,"Trnt1","","CG2100","F55B12.4",3565786,"Cel.2743","F55B12.4","","",NULL
269,"aakb-1","AMP-Activated Kinase Beta subunit","Caenorhabditis elegans","Protein involved in Snf1 protein kinase complex assembly","RNA interference resulted in decreased lifespan and earlier accumulation of lipofuscin.","","Ha et al., 2006",16673436,"","","","",181492,"Cel.860","F55F3.1","","",NULL
270,"CELE_F56D5.5","Protein F56D5.5","Caenorhabditis elegans","Golgi matrix protein","RNA interference increased mean lifespan by 20%.","CARD11","Kim et al., 2007",17608836,"","","","Y38E10A.3, F56D5.5",177772,"Cel.12825","F56D5.5","","",NULL
271,"F57B10.3","Protein F57B10.3","Caenorhabditis elegans","Phosphoglycerate mutase","RNA interference extends lifespan by about 20%.","","Lee et al., 2003",12447374,"","","","F57B10.3",172376,"Cel.8669","F57B10.3","","",NULL
272,"dct-18","DAF-16/FOXO Controlled, germline Tumor affecting","Caenorhabditis elegans","","F35E12.7 stimulates the growth of gld-1 tumors. RNA interference increased mean lifespan up to 12% in a gld-1 mutant background and reduced mean lifespan by 8% in wild-type worms.","","Pinkston-Gosse and Kenyon, 2007",17934462,"","","","",174934,"Cel.14924","F58G1.4","","",NULL
273,"mrpl-24","Protein MRPL-24","Caenorhabditis elegans","Mitochondrial translation","RNA interference in adulthood resulted in a 14% mean lifespan extension.","MRPL24","Chen et al., 2007",17521386,"Mrpl24","","mRpL24","F59A3.3",172204,"Cel.18571","F59A3.3","","",NULL
274,"CELE_F59B2.8","Protein F59B2.8","Caenorhabditis elegans","","RNA interference in adulthood shortened the extended lifespan of daf-2(mu150) mutants. Only a negligible or small reduction in the lifespan of wild-type worms was observed in knockouts.","","Ghazi et al., 2007",17392428,"","","","",186593,"Cel.10372","F59B2.8","","",NULL
275,"idh-1","Protein IDH-1","Caenorhabditis elegans","NADP-dependent isocitrate dehydrogenase","RNA interference resulted in extended lifespan.","NDUFB10","Hamilton et al., 2005",15998808,"Idh1","IDP1","Idh","F59B8.2",177775,"Cel.8903","F59B8.2","","",NULL
276,"exos-3","EXOSome (multiexonuclease complex) component","Caenorhabditis elegans","Ribosome biogenesis","RNA interference in adulthood extended mean lifespan by 12%.","EXOSC3","Chen et al., 2007",17521386,"","","","",186604,"Cel.30674","F59C6.4","","",NULL
277,"CELE_F59C6.5","Protein F59C6.5","Caenorhabditis elegans","Subunit of the NADH:ubiquinone oxidoreductase complex","RNA interference in adulthood extended mean lifespan by 19%.","NDUFB10","Curran and Ruvkun, 2007",17411345,"Ndufb10","","Pdsw","F59C6.5",172933,"Cel.18563","F59C6.5","","",NULL
278,"fat-7","FATty acid desaturase","Caenorhabditis elegans","","RNA interference shortened lifespan and altered fatty acid composition.","SCD","Van Gilst et al., 2005",15719061,"","","","",179100,"Cel.3272","F10D2.9","","",NULL
279,"fbp-1","fructose-1,6-bisphosphatase","Caenorhabditis elegans","Fructose bisphosphatase","RNA interference extended mean lifespan by 10% in daf-2 mutants.","FBP1","Dong et al., 2007",17673661,"Fbp1","FBP1","fbp","fbp-1",266822,"Cel.6833","K07A3.1","","",NULL
280,"FBP1","Fructose-1,6-bisphosphatase, key regulatory enzyme in the gluconeogenesis pathway, required for gluc","Saccharomyces cerevisiae","Glucose metabolism","Deletion increased reduced production of reactive oxygen species while overexpression shortened lifespan.","FBP1","Kitanovic and Wolfl, 2005",16199065,"Fbp1","FBP1","fbp","fbp-1",851092,"","YLR377C","","ACN8",NULL
281,"fbxa-121","F-box A protein","Caenorhabditis elegans","F-box A protein","RNA interference in adulthood shortened the extended lifespan of daf-2(mu150) mutants. Only a negligible or small reduction in the lifespan of wild-type worms was observed in knockouts.","","Ghazi et al., 2007",17392428,"","","","",189476,"",NULL,"","",NULL
282,"Fgf23","Fibroblast growth factor 23","Mus musculus","","Knockouts have a short lifespan and display symptoms of premature ageing ageing-like including kyphosis, muscle wasting, osteopenia, emphysema, uncoordinated movement, atherosclerosis, and atrophy of the intestinal villi, skin, thymus, and spleen.","FGF23","Razzaque et al., 2006",16436465,"Fgf23","","","",64654,"Mm.347933","ENSMUSG00000000182","Q9EPC2","",NULL
283,"FIS1","fission 1 (mitochondrial outer membrane) homolog (S. cerevisiae)","Saccharomyces cerevisiae","Mitochondrial outer membrane protein involved in membrane fission","Deletion prolonged the lifespan and improved the fitness of old mother cells.","FIS1","Scheckhuber et al., 2006",17173038,"","FIS1","","",854745,"","YIL065C","","MDV2",NULL
284,"FOB1","Fob1p","Saccharomyces cerevisiae","","Knocking out this gene extends lifespan by 30-50%.","","Defossez et al., 1999",10230397,"","FOB1","","",851688,"","YDR110W","","HRM1",NULL
285,"Foxm1","Forkhead box M1","Mus musculus","Transcriptional regulator that is important in development and cell proliferation","Deletion causes age-related deterioration in liver regeneration.","FOXM1","Krupczak-Hollis et al., 2003",14647066,"Foxm1","","","",14235,"Mm.42148","ENSMUSG00000001517","O08696","WIN Mpm2 Fkh16 Foxm1b HFH-11B AA408308 AW554517 BB",NULL
286,"foxo","Forkhead box, sub-group O","Drosophila melanogaster","Transcriptional regulator","Overexpression extends lifespan.","FOXO3A","Hwangbo et al., 2004",15175753,"","","foxo","",41709,"Dm.3957","FBgn0038197","","3143 Afx anon-WO0118547.374 cg3143 CG3143 dfoxo dF",NULL
287,"frh-1","FRataxin (involved in human Friedrich's ataxia) Homolog","Caenorhabditis elegans","Regulation of mitochondrial iron transport and respiration","Inactivation by RNA interference resulted in small body size, reduced fertility, altered responses to oxidative stress and life-extension.","FXN","Ventura et al., 2005",15771615,"","","fh","frh-1",174002,"Cel.20708","F59G1.7","","",NULL
288,"ftt-2","Fourteen-Three-Three family","Caenorhabditis elegans","","Overexpression extended lifespan by about 30%. Life-extension was suppressed by daf-16 inactivation.","YWHAZ","Wang et al., 2006",16860373,"Ywhaz","","14-3-3zeta","par-5, ftt-2",181348,"Cel.17467","F52D10.3","","",NULL
289,"fwd","four wheel drive","Drosophila melanogaster","1-phosphatidylinositol-4-kinase","Overexpression increased mean lifespan by 7-9%.","PIK4CB","Landis et al., 2003",12620118,"","","","",45374,"Dm.1632","FBgn0004373","","anon-WO0118547.259 CG7004 Dmel\CG7004 PI4K",NULL
290,"Fxn","frataxin","Mus musculus","Regulation of mitochondrial iron transport and respiration","Disruption results in reduced lifespan, increased oxidative stress, impaired respiration, and the development of hepatic tumors.","","Thierbach et al., 2005",16278235,"Fxn","","","",14297,"Mm.7319","ENSMUSG00000059363","O35943","FA X25 FARR Frda",NULL
291,"g","garnet","Drosophila melanogaster","gamma-subunit of AP-3 complex","Loss-of-function mutation reduces maximum lifespan by 7-30%.","AP3D1","Simonsen et al., 2007",17435236,"Ap3d1","APL5","g","apd-3",44819,"Dm.1817","FBgn0001087","","AP-3delta AP3delta CG10986 cg11197 CG11197 delta D",NULL
292,"gas-1","General Anaesthetic Sensitivity abnormal","Caenorhabditis elegans","Subunit of complex I of the mitochondrial electron transport chain","Mutation results hypersensitivity to volatile anesthetics and oxygen and reduced lifespan.","NDUFS2","Kayser et al., 2004",15178135,"Ndufs2","","CG1970","nduf-2.2, gas-1",181646,"Cel.8011","K09A9.5","","",NULL
293,"Gclc","Glutamate-cysteine ligase catalytic subunit","Drosophila melanogaster","Catalyzes the formation of glutathione","Overexpression extended mean and maximum lifespan by up to 50%.","GCLC","Orr et al., 2005",16148000,"Gclc","GSH1","Gclc","gcs-1",53581,"Dm.1723","FBgn0040319","","2259 CG2259 Dmel\CG2259 DmGCLC DmGCS DmGCSh GCL GC",NULL
294,"Gclm","Glutamate-cysteine ligase modifier subunit","Drosophila melanogaster","Catalyzes the formation of glutathione","Overexpression extended the mean lifespan by up to 24%.","GCLM","Orr et al., 2005",16148000,"Gclm","","Gclm","E01A2.1",248194,"Dm.36873","FBgn0046114","","4919 box CG4919 Dmel\CG4919 DmGCLM DmGCSl GCLm Gcs",NULL
295,"GCN5","Histone acetyltransferase","Saccharomyces cerevisiae","","Deletion suppressed extension of replicative lifespan.","PCAF","Kim et al., 2004",15547318,"Gm5109, Kat2b","GCN5","","pcaf-1",853167,"","YGR252W","","AAS104 ADA4 SWI9",NULL
296,"gcy-28","Guanylyl CYclase","Caenorhabditis elegans","Natriuretic peptide receptor, guanylate cyclase","RNA interference extended lifespan.","NPR2","Hansen et al., 2005",16103914,"Npr2","","CG31183","gcy-28",172051,"Cel.18007","T01A4.1","","",NULL
297,"gcy-6","Guanylyl CYclase","Caenorhabditis elegans","Guanylate cyclase","RNA interference extended lifespan.","NPR1","Murphy et al., 2003",12845331,"","","","",191644,"Cel.3267","B0024.6","","",NULL
298,"gdi-1","GDI (RabGDP Dissociation Inhibitor) family","Caenorhabditis elegans","Rab GDP dissociation inhibitor","RNA interference decreased median lifespan by 34% in daf-2 mutants.","GDI1","Samuelson et al., 2007",18006689,"Gdi1","GDI1","Gdi","gdi-1",178402,"Cel.17646","Y57G11C.10","","",NULL
299,"gei-15","GEX Interacting protein","Caenorhabditis elegans","","RNA interference in adulthood extended mean lifespan by 13%.","ATXN2","Curran and Ruvkun, 2007",17411345,"","","","",180951,"Cel.808","","","",NULL
300,"acdh-13","Acyl CoA DeHydrogenase","Caenorhabditis elegans","acyl CoA dehydrogenase","RNA interference increased mean lifespan by 57%.","ACAD9","Kim et al., 2007",17608836,"","","","",177654,"Cel.7888","C28C12.9","","",NULL
301,"Gh","Growth hormone","Mus musculus","Growth control","Transgenic mice overexpressing bovine GH1 are bigger than controls and display signs of premature ageing such as a shortened lifespan, glomerulosclerosis and glomerulonephritis, increased astrogliosis, and early onset of age-related changes in cognitive function.","GH1","Bartke, 2003",14583653,"Gh","","","",14599,"Mm.343934","ENSMUSG00000020713","P06880","Gh1",NULL
302,"Ghr","Growth hormone receptor","Mus musculus","Signal transduction of growth hormone","Knockouts are dwarf with significantly extended lifespan (40-50%).","GHR","Coschigano et al., 2003",12933651,"Ghr","","","",14600,"Mm.3986","ENSMUSG00000055737","P16882","GHBP GHR/BP",NULL
303,"Ghrhr","Growth hormone releasing hormone receptor","Mus musculus","","Knockouts are growth impaired and live about 20% longer than controls.","GHRHR","Flurkey et al., 2001",11371619,"Ghrhr","","","",14602,"Mm.89928","ENSMUSG00000004654","P32082","lit Ghrfr little",NULL
304,"gig","gigas","Drosophila melanogaster","Insulin/phosphoinositide 3-kinase (PI3K)/Akt pathway","Overexpression of gig, also known as dTsc2, results in lifespan extension.","TSC2","Kapahi et al., 2004",15186745,"Tsc2","","gig","",40201,"Dm.2047","FBgn0005198","","6975 C1 CG6975 Dmel\CG6975 dTsc2 dTSC2 gig|Tsc2 l(",NULL
305,"GLaz","Glial Lazarillo","Drosophila melanogaster","Carrier of hydrophobic substances","Overexpression resulted in increased resistance to hyperoxia and a 29% extension of mean lifespan under normoxia. Lifespan was also extended 30-60% under starvation.","ApoD","Walker et al., 2006",16581512,"","","GLaz","",36447,"Dm.2811","FBgn0033799","","CG4604 DGLaz Dmel\CG4604",NULL
306,"glf-1","GaLactoFuranose synthesis (UGM, UDP-galactopyranose mutase)","Caenorhabditis elegans","UDP-galactopyranose mutase","RNA interference decreased median lifespan by 49% in wild type animals, 76% in a daf-2 background and 33% in daf-2/daf-16 double mutants.","","Samuelson et al., 2007",18006689,"","","","glf-1",177358,"Cel.12759","H04M03.4","","",NULL
307,"GLN3","Gln3p","Saccharomyces cerevisiae","Transcriptional activator of genes regulated by nitrogen catabolite repression","Deletion extends chronological lifespan.","","Powers et al., 2006",16418483,"","GLN3","","",856763,"","YER040W","","",NULL
308,"glp-1","abnormal Germ Line Proliferation","Caenorhabditis elegans","Receptor for a germ-line proliferation signal","Mutations result in defects in germ-line proliferation and extension of lifespan by about 30%.","GLP1R","Arantes-Oliveira et al., 2002",11799246,"","","","lin-12, glp-1",176286,"Cel.6196","F02A9.6","","",NULL
309,"gpa-1","G Protein, Alpha subunit","Caenorhabditis elegans","G Protein, Alpha subunit","Up to 10% maximum lifespan extension in gpa-1 knockouts and a 10% decrease when gpa-1 is overexpressed. Loss-of-function of gpa-1 did not extend the lifespan of daf-2 mutants.","GNAO1","Lans and Jansen, 2006",17187771,"","","","",179546,"Cel.3259","T19C4.6","","",NULL
310,"gpa-10","G Protein, Alpha subunit","Caenorhabditis elegans","G Protein, Alpha subunit","Decrease in mean lifespan by 10% in knockouts.","GNA11","Lans and Jansen, 2006",17187771,"","","","",179075,"Cel.3255","C55H1.2","","",NULL
311,"gpa-11","G Protein, Alpha subunit","Caenorhabditis elegans","G Protein, Alpha subunit","Increase in mean lifespan by up to 25% when gpa-11 is overexpressed and a slight (5%) but non-significant decrease in lifespan in knockouts. Lifespan extension was dependent on daf-16. Loss-of-function of odr-3 and extra copies of gpa-11 synergistically extended lifespan. Extra copies of gpa-11 shortened the lifespan of daf-2 mutants. Loss-of-function of gpa-11 in daf-2 mutants further extended lifespan.","GNAI1","Lans and Jansen, 2006",17187771,"","","","",173759,"Cel.14877","C16A11.1","","",NULL
312,"gpa-15","G Protein, Alpha subunit","Caenorhabditis elegans","G Protein, Alpha subunit","No change in lifespan in knockouts and a 20% decrease in mean lifespan when gpa-15 is overexpressed.","GNAO1","Lans and Jansen, 2006",17187771,"","","","",172645,"Cel.18556","M04C7.1","","",NULL
313,"gpa-2","G Protein, Alpha subunit","Caenorhabditis elegans","G Protein, Alpha subunit","Reduction in mean lifespan of 30% in knockouts and a mean lifespan extension of 12% when gpa-2 is overexpressed.","GNAO1","Lans and Jansen, 2006",17187771,"","","","",179219,"Cel.3258","F38E1.5","","",NULL
