"id","gene_id","biblio_id","lifespan_effect","phenotype_description","longevity_influence","max_lifespan_change","max_lifespan_change_desc","avg_lifespan_change","avg_lifespan_change_desc","method","notes","hidden"
310,312,116,"decrease","No change in lifespan in knockouts and a 20% decrease in mean lifespan when gpa-15 is overexpressed.","anti",NULL,"",20,"Average lifespan is 20% lower.","Overexpression","2009 entry; quantitative data extracted in 2012.",0
311,313,116,"decrease","Reduction in mean lifespan of 30% in gpa-2 knockouts.","pro",NULL,"",30,"Average lifespan is 30% lower.","Knockout","2009 entry; quantitative data extracted in 2012. Entry was split into 2.",0
312,314,116,"decrease","Reduction in mean lifespan of 15% in knockouts and no change when gpa-3 is overexpressed.","pro",NULL,"",15,"Average lifespan is 15% lower.","Knockout","2009 entry; quantitative data extracted in 2012.",0
313,315,116,"increase","Increase in maximum lifespan by up to 10% in gpa-5 knockouts.","anti",10,"Maximum lifespan is 10% higher.",NULL,"","Knockout","2009 entry; quantitative data extracted in 2012. Entry was split in 2. ",0
314,316,116,"increase","Increase in mean lifespan by up to 10% in knockouts and no change when gpa-6 is overexpressed.","anti",NULL,"",10,"Average lifespan is 10% higher.","Knockout","2009 entry; quantitative data extracted in 2012.",0
315,317,116,"increase","Increase in mean lifespan by up to 20% in knockouts.","anti",NULL,"",20,"Average lifespan is up to 20% higher.","Knockout","2009 entry; quantitative data extracted in 2012. Split into 2 entries.",0
316,318,116,NULL,"Increase in maximum lifespan by up to 50% in knockouts and decrease by 20% in mean lifespan, but surprisingly increase in maximum lifespan by up to 20%, when gpa-9 is overexpressed.",NULL,NULL,"",NULL,"","Knockout and overexpression","Complex phenotype...",0
317,319,47,"increase","Deletion increases lifespan by about 50%.","anti",NULL,"",50,"Lifespan is about 50% higher.","Deletion","2009 entry; quantitative data extracted in 2012.",0
318,320,116,"increase","Up to 10% increase in mean lifespan in knockouts, dependent on daf-16.","anti",NULL,"",10,"Average lifespan is up to 10% higher.","Knockout","2009 entry; quantitative data extracted in 2012.",0
319,321,63,"increase","RNA interference increased mean lifespan by 6% in daf-2 mutants.","anti",NULL,"",NULL,"","RNA interference","2009 entry; quantitative data extracted in 2012. There are no values for WT - however RNAi of gpd-2 extends lifespan of daf-2 mutants even further.",0
320,322,12,"increase","RNA interference extends lifespan.","anti",NULL,"",NULL,"","RNA interference","2009 entry; quantitative data extracted in 2012. ",0
321,323,47,"increase","Deletion increases lifespan by about 50%.","anti",NULL,"",50,"Lifespan is about 50% higher.","Deletion","2009 entry; quantitative data extracted in 2012.",0
322,324,117,"increase","Heterozygous knockouts have a 7% increase in median lifespan.","anti",NULL,"",7,"Median lifespan is 7% higher.","Knockout","2009 entry; quantitative data extracted in 2012.",0
323,325,2,"increase","RNA interference increased mean lifespan by 27%.","anti",NULL,"",27,"Average lifespan is 27% higher.","RNA interference","2009 entry; quantitative data extracted in 2012. ",0
324,326,61,"increase","Mutation extends lifespan extension by 29%.",NULL,NULL,"",29,"Lifespan is 29% higher.","Mutation","2009 entry; quantitative data extracted in 2012. ",0
325,327,118,"increase","Overexpression of glutathione reductase (GSR) in transgenic flies resulted in increased lifespan and oxidative stress resistance, but only under hyperoxia. Glutathione reductase is now recognized to be performed by thioredoxin reductase-1 (Trxr-1) since Drosophila do not have a GSR gene.","pro",NULL,"",NULL,"","Overexpression","2009 entry; quantitative data extracted in 2012. JPM: replaced GSR by Trxr-1 in 2013.",0
326,328,119,"increase","Overexpression resulted in transgenic animals with enhanced stress resistance and increased lifespan by 13-22%.","pro",NULL,"",22,"Lifespan is 13-22% higher.","Overexpression","2009 entry; quantitative data extracted in 2012. ",0
327,329,120,"decrease","RNA interference decreased maximum lifespan.","pro",NULL,"",NULL,"","RNA interference","2009 entry; quantitative data extracted in 2012. ",0
328,330,5,"increase","RNA interference extended lifespan.","anti",NULL,"",NULL,"","RNA interference","2009 entry; quantitative data extracted in 2012. ",0
329,331,24,"increase","RNA interference in adulthood extended mean lifespan by 27%.","anti",NULL,"",27,"Average lifespan is 27% higher.","RNA interference","2009 entry; quantitative data extracted in 2012. ",0
330,332,71,"increase","Overexpression extends lifespan about 40% under growth conditions favoring fermentation.","pro",NULL,"",40,"Lifespan is about 40% higher.","Overexpression","2009 entry; quantitative data extracted in 2012.",0
331,333,121,"increase","Mutants have an extended lifespan (by 30%).",NULL,NULL,"",30,"Lifespan is 30% higher.","Mutation","2009 entry; quantitative data extracted in 2012.",0
332,334,122,"decrease","Gene disruption results in growth retardation and signs of premature ageing such as graying and loss of hair, reduced skin fat deposition, osteoporosis, kyphosis, cachexia, and premature death.","pro",NULL,"",NULL,"","Gene disruption","2009 entry; quantitative data extracted in 2012.",0
333,335,2,"increase","RNA interference increased mean lifespan by 50%.","anti",NULL,"",50,"Average lifespan is 50% higher.","RNA interference","2009 entry; quantitative data extracted in 2012. ",0
334,336,9,"decrease","RNA interference decreased median lifespan by 19% in wild type animals and 19% in daf-2 mutants.","pro",NULL,"",19,"Median lifespan is 19% lower.","RNA interference","2009 entry; quantitative data extracted in 2012. ",0
335,337,39,"decrease","Loss-of-function mutation reduces maximum lifespan by 30%.","pro",30,"Maximal lifespan is 30% lower.",NULL,"","Mutation","2009 entry; quantitative data extracted in 2012.",0
336,338,9,"decrease","RNA interference decreased median lifespan by 37% in wild type animals and 40% in daf-2 mutants.","pro",NULL,"",37,"Median lifespan is 37% lower.","RNA interference","2009 entry; quantitative data extracted in 2012. ",0
337,339,123,"decrease","Mutants have a shortened lifespan. Replicative lifespan decreased by 30%.","pro",NULL,"",30,"Replicative lifespan is 30% lower.","Deletion","2009 entry; quantitative data extracted in 2012 (Values updated from Arie's file).",0
338,340,24,"increase","RNA interference in adulthood extended mean lifespan by 49%.","anti",NULL,"",49,"Average lifespan is 49% higher.","RNA interference","2009 entry; quantitative data extracted in 2012. ",0
339,341,124,"decrease","RNA interference suppressed normal dauer formation and life-extension due to insulin-like signalling.","pro",NULL,"",NULL,"","RNA interference","2009 entry; quantitative data extracted in 2012. ",0
340,342,125,"increase","Overexpression enhanced stress resistance and extended lifespan.","pro",NULL,"",NULL,"","Overexpression","2009 entry; quantitative data extracted in 2012. ",0
341,343,125,"increase","Overexpression enhanced stress resistance and extended lifespan.","pro",NULL,"",NULL,"","Overexpression","2009 entry; quantitative data extracted in 2012. ",0
342,344,125,"increase","Overexpression enhanced stress resistance and extended lifespan.","pro",NULL,"",NULL,"","Overexpression","2009 entry; quantitative data extracted in 2012. ",0
343,345,46,"decrease","RNA interference resulted in sick, short-lived adults.","pro",NULL,"",NULL,"","RNA interference","2009 entry; quantitative data extracted in 2012. ",0
344,346,126,"increase","Overexpression in transgenic worms extended lifespan by 43% for mean and 45% for maximum lifespan.","pro",45,"Maximum lifespan is 45% higher.",43,"Average lifespan is 43% higher.","Overexpression","2009 entry; quantitative data extracted in 2012. ",0
345,347,127,"decrease","A 40% reduction in replicative lifespan was observed in knockouts. Overexpression had no effect on replicative lifespan but suppressed the reduced lifespan of Sir2-deficient cells.","fitness",NULL,"",40,"Replicative lifespan is 40% lower. ","Knockout","2009 entry; quantitative data extracted in 2012.",0
347,349,129,"increase","Overexpression increased stress resistance and extended the mean lifespan by 30%.","pro",NULL,"",30,"Average lifespan is 30% higher.","Overexpression","2009 entry; quantitative data extracted in 2012.",0
348,350,129,"increase","Overexpression increased stress resistance and extended the mean lifespan by 30%.","pro",NULL,"",30,"Average lifespan is 30% higher.","Overexpression","2009 entry; quantitative data extracted in 2012.",0
349,351,130,"increase","Overexpression extends lifespan.","pro",NULL,"",NULL,"","Overexpression","2009 entry; quantitative data extracted in 2012.",0
350,352,131,"increase","Overexpression in transgenic flies extended lifespan. It is not clear which specific hsp70 gene the authors used in this experiment.","pro",NULL,"",NULL,"","Overexpression","2009 entry; quantitative data extracted in 2012.",0
351,353,132,"increase","Overexpression results in replicative lifespan extension.","pro",NULL,"",NULL,"","Overexpression","2009 entry; quantitative data extracted in 2012.",0
352,354,24,"increase","RNA interference in adulthood extended mean lifespan by 19%.","anti",NULL,"",19,"Average lifespan is 19% higher.","RNA interference","2009 entry; quantitative data extracted in 2012. ",0
353,355,133,"decrease","Knockout mice displayed a decreased lifespan and early age-related motor decline.","pro",NULL,"",NULL,"","Knockout","2009 entry; quantitative data extracted in 2012.",0
354,356,53,"increase","RNA interference increased mean lifespan by 11%. In hus-1 mutants, RNA interference of cep-1 did not increase lifespan, suggesting both genes influence lifespan through the same pathway.","anti",NULL,"",11,"Average lifespan is 11% higher.","RNA interference","2009 entry; quantitative data extracted in 2012. ",0
355,357,47,"increase","Deletion extends lifespan about 50%.","anti",NULL,"",50,"Lifespan is about 50% higher.","Deletion","2009 entry; quantitative data extracted in 2012.",0
356,358,33,"increase","Deletion increased the mean replicative lifespan by about 30%.","anti",NULL,"",30,"Replicative lifespan is about 30% higher. ","Deletion","2009 entry; quantitative data extracted in 2012.",0
357,359,134,"increase","RNA interference increased maximum lifespan by 7-10%.","anti",10,"Maximum lifespan is 7-10% higher.",NULL,"","RNA interference","2009 entry; quantitative data extracted in 2012. ",0
358,360,135,"increase","Loss-of-function mutation increased maximum lifespan by about 20%. It did not extend the lifespan of daf-16(RNAi) animals. TOR RNA interference further extended lifespan.","anti",20,"Maximum lifespan is about 20% higher.",NULL,"","Mutation","2009 entry; quantitative data extracted in 2012. ",0
359,361,5,"increase","RNA interference extended lifespan.","anti",NULL,"",NULL,"","RNA interference","2009 entry; quantitative data extracted in 2012. ",0
360,362,24,"increase","RNA interference in adulthood resulted in a 55% mean lifespan extension.","anti",NULL,"",55,"Average lifespan is 55% higher.","RNA interference","2009 entry; quantitative data extracted in 2012. ",0
361,363,136,"increase","Knockouts have an extended lifespan phenotype (40-50%) and are defective in dauer formation due to defects in daf-2 receptor signalling pathway in ciliatedsensory neurons. There was no additive effect of the ifta-2 mutation on the daf-2 longevity phenotype.","anti",NULL,"",50,"Lifespan is 40-50% higher.","Knockout","2009 entry; quantitative data extracted in 2012. ",0
362,364,137,"increase","Cardiac specific overexpression results in a 23% increase in median lifespan, though no increase in maximum lifespan.","pro",0,"No increase in maximum lifespan",23,"Median lifespan is 23% higher.","Overexpression","2009 entry; quantitative data extracted in 2012.",0
363,365,138,"increase","Mice heterozygous for IGF1R live 26% longer than controls. Female Igf1r +/- mice live 33% longer, while male mice live 16% longer. Igf1r +/- mice have normal size, normal metabolism, normal nutrient uptake, fertility and reproduction, and seem to be oxidative stress resistant.","anti",NULL,"",33,"Average female lifespan is 33% higher; Average male lifespan is 16% higher.","Knockout","2009 entry; quantitative data extracted in 2012.
",0
364,366,139,"increase","Flies heterozygotic for a disruption have extended mean (87-92%) lifespan and maximum lifespan (45%). Homozygotes for the disruption show only a 10-20% increase in mean lifespan.","anti",45,"Maximum lifespan is 45% higher.",92,"Average lifespan is 87-92% higher.","Knockout","2009 entry; quantitative data extracted in 2012.",0
365,367,24,"increase","RNA interference in adulthood resulted in a up to 46% mean lifespan extension.","anti",NULL,"",46,"Average lifespan is up to 46% higher.","RNA interference","2009 entry; quantitative data extracted in 2012. ",0
366,368,140,"increase","Mutations result in dwarf females with extended lifespan of up to 85% and dwarf males with reduced late age-specific mortality.","anti",NULL,"",85,"Average female lifespan is up to 85% higher.","Mutation","2009 entry; quantitative data extracted in 2012.",0
367,369,141,"increase","Increased dosage increases lifespan by 25%.","pro",NULL,"",25,"Lifespan is 25% higher.","Overexpression","2009 entry; quantitative data extracted in 2012. ",0
368,370,38,"increase","RNA interference extends lifespan.","anti",NULL,"",NULL,"","RNA interference","2009 entry; quantitative data extracted in 2012. ",0
369,371,38,"increase","RNA interference extends lifespan.","anti",NULL,"",NULL,"","RNA interference","2009 entry; quantitative data extracted in 2012. ",0
370,372,38,"increase","RNA interference extends lifespan.","anti",NULL,"",NULL,"","RNA interference","2009 entry; quantitative data extracted in 2012. ",0
371,373,142,"increase","Deletion in adipose tissue increased lifespan.","anti",NULL,"",NULL,"","Deletion","2009 entry; quantitative data extracted in 2012.",0
372,374,5,"increase","RNA interference increases lifespan.","anti",NULL,"",NULL,"","RNA interference","2009 entry; quantitative data extracted in 2012. ",0
373,375,2,"increase","RNA interference increased mean lifespan by 19%.","anti",NULL,"",19,"Average lifespan is 19% higher.","RNA interference","2009 entry; quantitative data extracted in 2012. ",0
374,376,24,"increase","RNA interference in adulthood resulted in a 28% mean lifespan extension.","anti",NULL,"",28,"Average lifespan is 28% higher.","RNA interference","2009 entry; quantitative data extracted in 2012. ",0
375,377,143,"increase","Median lifespan was extended 18% in knockouts from both sexes and 32% in females. Female animals displayed signs of resistance to ageing markers in skin, bone, immune system, and motor dysfunction, in spite of mild, lifelong insulin resistance. Heterozygous animals had normal lifespans.","anti",NULL,"",18,"Median lifespan is 18% higher.","Knockout","2009 entry; quantitative data extracted in 2012.",0
376,378,144,"increase","Irs2 brain-specific knockout mice were overweight, hyperinsulinemic, glucose intolerant, yet more active and lived up to 18% longer.","anti",NULL,"",18,"Lifespan is 18% higher.","Knockout","2009 entry; quantitative data extracted in 2012.",0
377,379,145,"increase","A missense mutation leads to low oxygen consumption, decreased sensitivity to reactive oxygen species, and increased mean (60%) and maximum (100%) lifespan.",NULL,100,"Maximum lifespan is 100% higher.",60,"Average lifespan is 60% higher.","Mutation","2009 entry; quantitative data extracted in 2012. ",0
378,380,146,"decrease","May regulate daf-16. Mutations result in a shortened lifespan.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
379,381,146,"increase","Overexpression increases lifespan by 40%.","pro",NULL,"",40,"Lifespan is 40% higher.","Overexpression","2009 entry; quantitative data extracted in 2012. ",0
380,382,23,"increase","RNA interference in adulthood resulted in a 17% lifespan extension.","anti",NULL,"",17,"Lifespan is 17% higher.","RNA interference","2009 entry; quantitative data extracted in 2012. ",0
381,383,4,"increase","RNA interference extends lifespan by about 20%.","anti",NULL,"",20,"Lifespan is about 20% higher.","RNA interference","2009 entry; quantitative data extracted in 2012. ",0
382,384,135,"increase","RNA interference in adulthood increased maximum lifespan by about 30%.","anti",30,"Maximum lifespan is about 30% higher.",NULL,"","RNA interference","2009 entry; quantitative data extracted in 2012. ",0
383,385,5,"increase","RNA interference extends lifespan.","anti",NULL,"",NULL,"","RNA interference","2009 entry; quantitative data extracted in 2012. ",0
384,386,2,"increase","RNA interference increased mean lifespan by 22%.","anti",NULL,"",22,"Average lifespan is 22% higher.","RNA interference","2009 entry; quantitative data extracted in 2012. ",0
385,387,5,"increase","RNA interference extends lifespan.","anti",NULL,"",NULL,"","RNA interference","2009 entry; quantitative data extracted in 2012. ",0
386,388,5,"increase","RNA interference extends lifespan.","anti",NULL,"",NULL,"","RNA interference","2009 entry; quantitative data extracted in 2012. ",0
387,389,5,"increase","RNA interference extends lifespan.","anti",NULL,"",NULL,"","RNA interference","2009 entry; quantitative data extracted in 2012. ",0
388,390,5,"increase","RNA interference extends lifespan.","anti",NULL,"",NULL,"","RNA interference","2009 entry; quantitative data extracted in 2012. ",0
389,391,46,"increase","RNA interference results in developmental abnormalities but also a significant increase in lifespan.","anti",NULL,"",NULL,"","RNA interference","2009 entry; quantitative data extracted in 2012. ",0
390,392,23,"increase","RNA interference in adulthood resulted in a 16% mean lifespan extension.","anti",NULL,"",16,"Average lifespan is 16% higher.","RNA interference","2009 entry; quantitative data extracted in 2012. ",0
391,393,9,"decrease","RNA interference decreased median lifespan by 22% in daf-2 mutants.","pro",NULL,"",NULL,"","RNA interference","2009 entry; quantitative data extracted in 2012. There are no values for WT - however it appears that K11D12.9 is needed for the daf-2 lifespan extension.",0
392,394,2,"increase","RNA interference increased mean lifespan by 58%.","anti",NULL,"",58,"Average lifespan is 58% higher.","RNA interference","2009 entry; quantitative data extracted in 2012.",0
393,396,147,"decrease","RNA interference suppressed glp-1 life-extension but did not shorten lifespan of wildtype strains.","pro",NULL,"",NULL,"","RNA interference","2009 entry; quantitative data extracted in 2012. There is no effect compared to WT - however it appears that kri-1 is needed for the glp-1 lifespan extension.",0
394,397,6,"decrease","Deletion resulted in increased sensitivity to heat shock and oxidative stress and a 33% reduction in median lifespan.","fitness",NULL,"",33,"Median lifespan is 33% lower.","Deletion","2009 entry; quantitative data extracted in 2012.",0
395,398,28,"increase","Deletion increased mean and maximum lifespan by approximately 50%.","anti",50,"Maximum lifespan is approximately 50% higher.",50,"Average lifespan is approximately 50% higher.","Deletion","2009 entry; quantitative data extracted in 2012.",0
396,399,148,"increase","Overexpression extended mean and maximum lifespan by 36% and 54%, respectively.","pro",54,"Maximum lifespan is 54% higher.",36,"Average lifespan is 36% higher.","Overexpression","2009 entry; quantitative data extracted in 2012.",0
397,400,149,"increase","Deletion abolished the lifespan extension conferred by calorie restriction. Overexpression extended mean lifespan by 20%, did not further extend lifespan under CR, and was not dependent on the Sir2 family. Overexpression also extended cell survival during prolonged culture at stationary phase.","pro",NULL,"",20,"Average lifespan is 20% higher.","Overexpression","2009 entry; quantitative data extracted in 2012.",0
398,401,96,"decrease","RNA interference resulted in decreased lifespan and earlier accumulation of lipofuscin.","pro",NULL,"",NULL,"","RNA interference","2009 entry; quantitative data extracted in 2012.",0
399,402,96,"decrease","RNA interference resulted in decreased lifespan and earlier accumulation of lipofuscin.","pro",NULL,"",NULL,"","RNA interference","2009 entry; quantitative data extracted in 2012.",0
400,403,38,"increase","RNA interference resulted in life extension.","anti",NULL,"",NULL,"","RNA interference","2009 entry; quantitative data extracted in 2012.",0
401,404,96,"decrease","RNA interference resulted in decreased lifespan and earlier accumulation of lipofuscin.","pro",NULL,"",NULL,"","RNA interference","2009 entry; quantitative data extracted in 2012.",0
402,405,36,"decrease","RNA interference resulted in decreased lifespan and earlier accumulation of lipofuscin.","pro",NULL,"",NULL,"","RNA interference","2009 entry; quantitative data extracted in 2012.",0
403,406,150,"decrease","RNA interference resulted in a shortened lifespan.","pro",NULL,"",NULL,"","RNA interference","2009 entry; quantitative data extracted in 2012.",0
404,407,151,"increase","Activating mutations weakly suppress constitutive dauer diapause in daf-2 and age-1 mutants and extend lifespan induced by mutation of daf-2.",NULL,NULL,"",NULL,"","RNA interference","",0
405,408,9,"decrease","RNA interference decreased median lifespan by 13% in wild type animals and 32% in daf-2 mutants.","pro",NULL,"",13,"Median lifespan is 13% lower.","RNA interference","2009 entry; quantitative data extracted in 2012.",0
406,409,152,"increase","A loss-of-function mutation in lin-14 extended lifespan by 31% while a gain-of-function mutation decreased lifespan. The life-extending effects were dependent on daf-16 and hsf-1. Also, lin-14 is a target of lin-4.","anti",NULL,"",31,"Average lifespan is 31% higher.","Mutation","2009 entry; quantitative data extracted in 2012. Data taken for the ""loss-of-function"" mutation as no data was available in Arie's file for the ""gain-of-function"".",0
407,410,36,"increase","RNA interference extends lifespan.","anti",NULL,"",NULL,"","RNA interference","2009 entry; quantitative data extracted in 2012.",0
408,411,69,"decrease","RNA interference shortened the extended lifespan of daf-2(mu150) mutants. Only a negligible or small reduction in the lifespan of wild-type worms was observed in knockouts.","pro",NULL,"",NULL,"","RNA interference","2009 entry; quantitative data extracted in 2012. There are no values for WT - however it appears that lin-23 is needed for the daf-2 lifespan extension.",0
409,412,152,NULL,"A loss-of-function mutation in lin-4 shortened lifespan and accelerated tissue ageing while overexpressing lin-4 extended lifespan.","pro",NULL,"",NULL,"","Mutation","",0
410,413,2,"increase","RNA interference increased mean lifespan by 61%.","anti",NULL,"",61,"Average lifespan is 61% higher.","RNA interference","2009 entry; quantitative data extracted in 2012. ",0
411,414,150,"decrease","Deletion resulted in a shortened lifespan.","pro",NULL,"",NULL,"","Deletion","",0
412,415,153,"decrease","Homozygous mice display signs of premature ageing, including a marked reduction in growth rate and death by 4 weeks of age.","pro",NULL,"",NULL,"","Knockout","2009 entry; quantitative data extracted in 2012.",0
413,416,23,"increase","RNA interference in adulthood resulted in a 17% mean lifespan extension.","anti",NULL,"",17,"Average lifespan is 17% higher.","RNA interference","2009 entry; quantitative data extracted in 2012. ",0
414,417,4,"increase","A mutation that impaired mitochondrial function was associated with a longer lifespan.","anti",NULL,"",NULL,"","Mutation","2009 entry; quantitative data extracted in 2012. ",0
415,418,9,"decrease","RNA interference decreased median lifespan by 24% in wild type animals, 27% in a daf-2 background and 9% in daf-2/daf-16 double mutants.","pro",NULL,"",24,"Median lifespan is 24% lower.","RNA interference","2009 entry; quantitative data extracted in 2012. ",0
416,419,39,"decrease","Loss-of-function mutation reduces maximum lifespan by 10%.","pro",10,"Maximum lifespan is 10% lower.",NULL,"","Mutation","2009 entry; quantitative data extracted in 2012.",0
417,420,97,"decrease","lys-8 appears to inhibit the growth of gld-1 tumours. RNA interference reduced mean lifespan up to 29% in wild type animals, up to 19% in daf-2 mutants, and up to 15% in daf-2/gld-1 mutants. It also reduced maximum lifespan 12% in daf-2 mutants and 25% in daf-2/gld-1 mutants.","pro",NULL,"",29,"Average lifespan is up to 29% lower.","RNA interference","2009 entry; quantitative data extracted in 2012. ",0
418,421,8,"increase","Deletion extended chronological lifespan.","anti",NULL,"",NULL,"","Deletion","2009 entry; quantitative data extracted in 2012.",0
419,422,9,"decrease","RNA interference decreased median lifespan by 45% in wild type animals, 46% in a daf-2 background and 44% in daf-2/daf-16 double mutants.","pro",NULL,"",45,"Median lifespan is 45% lower.","RNA interference","2009 entry; quantitative data extracted in 2012. ",0
420,423,9,"decrease","RNA interference decreased median lifespan by 20% in wild type animals and 40% in daf-2 mutants.","pro",NULL,"",20,"Median lifespan is 20% lower.","RNA interference","2009 entry; quantitative data extracted in 2012. ",0
421,424,9,"decrease","RNA interference decreased median lifespan by 15% in wild type animals and 35% in daf-2 mutants.","pro",NULL,"",15,"Median lifespan is 15% lower.","RNA interference","2009 entry; quantitative data extracted in 2012. ",0
422,425,5,"increase","RNA interference extended lifespan.","anti",NULL,"",NULL,"","RNA interference","2009 entry; quantitative data extracted in 2012. ",0
423,426,24,"increase","RNA interference in adulthood resulted in a 15% mean lifespan extension.","anti",NULL,"",15,"Average lifespan is 15% higher.","RNA interference","2009 entry; quantitative data extracted in 2012. ",0
424,427,154,"decrease","Conditional knockouts with reduced expression develop normally but lifespan is greatly reduced with most animals living 10-12 weeks accompanied by deficiencies in the proliferative cell compartments of several tissues and increased cancer incidence.","pro",NULL,"",NULL,"","Conditional knockout","2009 entry; quantitative data extracted in 2012.",0
425,428,9,"decrease","RNA interference decreased median lifespan by 10% in wild type animals and 16% in daf-2 mutants.","pro",NULL,"",10,"Median lifespan is 10% lower.","RNA interference","2009 entry; quantitative data extracted in 2012. ",0
426,429,55,"increase","Mutation extends lifespan.",NULL,NULL,"",NULL,"","Mutation","",0
427,430,62,"decrease","Mutants have a 3-fold reduced mean and maximum chronological lifespan under conditions of medium depletion.","fitness",NULL,"",66,"Lifespan is three-fold lower.","Mutation","2009 entry; quantitative data extracted in 2012.",0
428,431,9,"decrease","RNA interference results in a 39% decrease in median lifespan in daf-2 mutants,  14% decrease in lifespan in daf-2/daf-16 double mutants and 8% decrease in median lifespan in a wild-type background.","pro",NULL,"",8,"Median lifespan is 8% lower.","RNA interference","2009 entry; quantitative data extracted in 2012. ",0
429,432,8,"increase","Deletion extended chronological lifespan.","anti",NULL,"",NULL,"","Deletion","2009 entry; quantitative data extracted in 2012.",0
430,433,8,"increase","Deletion extended chronological lifespan.","anti",NULL,"",NULL,"","Deletion","2009 entry; quantitative data extracted in 2012.",0
431,434,115,"increase","Mutation animals that lack germ cells live about 60% longer than controls.","anti",NULL,"",60,"Lifespan is about 60% higher.","Mutation","2009 entry; quantitative data extracted in 2012. ",0
432,435,155,"decrease","Mutants are hypersensitive to raised oxygen concentrations and their lifespan decreases dramatically as oxygen concentrations increase.",NULL,NULL,"",NULL,"","Mutation","",0
433,436,156,"decrease","Although grossly normal at birth, knockout mice display multiple deficiencies with age including hypersensitivity to autoimmune disease, higher oxidative metabolism, resistance to weight-gain, and signs of early ageing such as osteoporosis, decreased muscle mass, and depletion of adult stem cells. Interestingly, Mgat5-/-Pten+/- and Mgat5+/-Pten+/- mutant mice showed a small but significant increase in lifespan when compared to Pten+/- mice, accompanied by an apparent delay in the inevitable development of cancer in Pten+/- mice.","pro",NULL,"",NULL,"","Knockout","2009 entry; quantitative data extracted in 2012.",0
434,437,81,"decrease","Mutation reduced maximum lifespan 23%.","anti",23,"Maximum lifespan is 23% lower.",NULL,"","Mutation","2009 entry; quantitative data extracted in 2012. ",0
435,438,157,"decrease","RNA interference shortened wild-type (20%) and ife-2 mutant (15%) maximum lifespan.","pro",20,"Maximum lifespan is 20% lower.",NULL,"","RNA interference","2009 entry; quantitative data extracted in 2012. ",0
436,439,158,"decrease","A dMnt null allele results in flies with larger cells, increased weight, and decreased lifespan.","pro",NULL,"",NULL,"","Knockout","2009 entry; quantitative data extracted in 2012.",0
437,440,159,"decrease","Knockouts show a modest life-shortening effect.","pro",NULL,"",NULL,"","Knockout","",0
438,441,160,"increase","Overexpression extended lifespan by about 25%.","pro",NULL,"",25,"Lifespan is about 25% higher.","Overexpression","2009 entry; quantitative data extracted in 2012.",0
439,442,4,"increase","RNA interference extended lifespan.","anti",NULL,"",NULL,"","RNA interference","",0
440,443,2,"increase","RNA interference increased mean lifespan by 23%.","anti",NULL,"",23,"Average lifespan is 23% higher.","RNA interference","2009 entry; quantitative data extracted in 2012. ",0
441,444,161,"decrease","About 50% of knock-out animals were dead by 8 month of age and all animals were dead by 12 month of age because of increased incidence of multiple cancers making these model as putatively progeroid.","pro",NULL,"",NULL,"","Knockout","2009 entry; quantitative data extracted in 2012.",0
442,445,162,"increase","Overexpression in the nervous system extended lifespan by up to 70%, increased resistance to oxidative stress, and delayed the onset of senescence-induced decline in activity levels and reproductive capacity.","pro",NULL,"",70,"Lifespan is up to 70% higher.","Overexpression","2009 entry; quantitative data extracted in 2012.",0
443,446,163,"decrease","Knockouts exhibit a shorter lifespan and enhanced sensitivity to oxidative stress.","pro",NULL,"",NULL,"","Knockout","2009 entry; quantitative data extracted in 2012.",0
444,447,164,"increase","Mutants displayed approximately 35 percent increase in average lifespan and enhanced resistance to various forms of stress.","anti",NULL,"",35,"Lifespan is approximately 35% higher.","Mutation","2009 entry; quantitative data extracted in 2012.",0
445,448,38,"increase","RNA interference extends lifespan.","anti",NULL,"",NULL,"","RNA interference","2009 entry; quantitative data extracted in 2012. ",0
446,449,9,"decrease","RNA interference decreased median lifespan by 7% in wild type animals, 39% in a daf-2 background and 27% in daf-2/daf-16 double mutants.","pro",NULL,"",7,"Median lifespan is 7% lower.","RNA interference","2009 entry; quantitative data extracted in 2012. ",0
447,450,165,"increase","Deletion of MsrA decreases and overexpression increases (by 25%) the lifespan.","pro",NULL,"",25,"Lifespan is 25% higher.","Overexpression","2009 entry; quantitative data extracted in 2012.",0
448,451,166,"increase","Mutants exhibit ameliorated age-related declines in locomotor activity and an increase in mean lifespan of 20%.","anti",NULL,"",20,"Average female lifespan is 20% higher.","Mutation","2009 entry; quantitative data extracted in 2012.",0
449,452,167,"increase","RNA interference knockdown leads to an increase in average (19%) and maximal lifespan (50%).","anti",50,"Maximum lifespan is 50% higher.",19,"Average lifespan is 19% higher.","RNA interference","2009 entry; quantitative data extracted in 2012. ",0
450,453,168,"increase","RNA interference knockdown leads to an increase in average (15%).","anti",NULL,"",15,"Average lifespan is 15% higher.","RNA interference","2009 entry; quantitative data extracted in 2012. ",0
451,454,5,"increase","RNA interference extended lifespan.","anti",NULL,"",NULL,"","RNA interference","2009 entry; quantitative data extracted in 2012. ",0
452,455,169,"increase","Overexpression of Nde1 and Nde2 resulted in a longer replicative lifespan (20-25%) on 2% glucose, but not on 0.5% glucose.","pro",NULL,"",25,"Replicative lifespan is 20-25% higher. ","Overexpression","2009 entry; quantitative data extracted in 2012.",0
