id_biblio,terms,title,journal,author,volume,authors,pubmed,author_initials,year,contact_addresses,issue,pages,editor,review,publisher,url
18210,"['Animals', 'Anoxia/metabolism', 'Antioxidants/pharmacology', 'Cacao', 'Chelating Agents/pharmacology', 'Dietary Supplements', 'Drosophila melanogaster', 'Feeding Behavior', 'Flavonoids/pharmacology', 'Iron', 'Longevity/drug effects', 'Oxidative Stress/drug effects', 'Plant Extracts/pharmacology', 'Reactive Oxygen Species/pharmacology', 'Seeds', 'Superoxide Dismutase/deficiency']",Cocoa confers life span extension in Drosophila melanogaster.,Nutr Res,"Bahadorani, S and Hilliker, AJ",28,,19083435,"Bahadorani, S. and Hilliker, A.J.",2008,,6,377-382,,,,
18212,"['Animals', 'Antioxidants/pharmacology', 'Caenorhabditis/drug effects/growth & development/metabolism', 'Caenorhabditis elegans Proteins/antagonists & inhibitors/metabolism', 'Camellia sinensis', 'Catechin/analogs & derivatives/pharmacology', 'Free Radical Scavengers/pharmacology', 'Genes, Reporter/physiology', 'Heat-Shock Proteins/antagonists & inhibitors/metabolism', 'Hydrogen Peroxide/antagonists & inhibitors/metabolism', 'Longevity', 'Oxidative Stress/drug effects', 'Plant Extracts/pharmacology', 'Superoxides/antagonists & inhibitors', 'Tea']",Epigallocatechin gallate from green tea (Camellia sinensis) increases lifespan and stress resistance in Caenorhabditis elegans.,Planta Med.,"Abbas, S and Wink, M",75,,19085685,"Abbas, S. and Wink, M.",2009,,3,216-221,,,,
18213,"['Aging/drug effects', 'Animals', 'Biological Transport', 'Cells, Cultured', 'Cladocera/drug effects/physiology', 'Drosophila melanogaster/drug effects/physiology/ultrastructure', 'Female', 'Fibroblasts/drug effects/metabolism', 'Longevity/drug effects', 'Male', 'Mice', 'Mice, Transgenic', 'Mitochondria/drug effects/metabolism/ultrastructure', 'Plastoquinone/analogs & derivatives/metabolism/pharmacology', 'Podospora/drug effects/genetics/physiology']",Mitochondria-targeted plastoquinone derivatives as tools to interrupt execution of the aging program. 5. SkQ1 prolongs lifespan and prevents development of traits of senescence.,Biochemistry Mosc.,"Anisimov, VN et al.",73,,19120018,"Anisimov, VN et al.",2008,,12,1329-1342,,,,
18216,"['Animals', 'Antioxidants/pharmacology', 'Caloric Restriction', 'Diet', 'Female', 'Longevity/drug effects', 'Male', 'Stilbenes/pharmacology', 'Tephritidae']",The prolongevity effect of resveratrol depends on dietary composition and calorie intake in a tephritid fruit fly.,Exp. Gerontol.,"Zou, S et al.",44,,19264118,"Zou, S et al.",2009,,06-Jul,472-476,,,,
18238,"['Aging/drug effects/metabolism', 'Animals', 'Antioxidants/administration & dosage', 'Caenorhabditis elegans/drug effects/physiology', 'Dose-Response Relationship, Drug', 'Life Expectancy', 'Longevity/drug effects/physiology', 'Plant Extracts/pharmacology']",Ageing in nematodes: do antioxidants extend lifespan in Caenorhabditis elegans?,Biogerontology,"Pun, PB et al.",11,,19350411,"Pun, PB et al.",2010,,1,17-30,,,,
18241,"['Animals', 'Caenorhabditis elegans/enzymology/genetics', 'Caenorhabditis elegans Proteins/genetics/metabolism', 'Cell Respiration', 'Hydrogen Peroxide/metabolism', 'Longevity/genetics', 'Mitochondria/metabolism', 'Mitochondrial Proteins/metabolism', 'Mutation', 'Oxidative Stress', 'Reactive Oxygen Species/metabolism', 'Time Factors', 'Ubiquinone/genetics/metabolism']",The effect of different ubiquinones on lifespan in Caenorhabditis elegans.,Mech. Ageing Dev.,"Yang, YY et al.",130,,19428456,"Yang, YY et al.",2009,,6,370-376,,,,
18242,"['Aging/drug effects/physiology', 'Animals', 'Antioxidants/administration & dosage', 'Caenorhabditis elegans/drug effects/physiology', 'Caenorhabditis elegans Proteins/metabolism', 'Dose-Response Relationship, Drug', 'Forkhead Transcription Factors', 'Life Expectancy', 'Longevity/drug effects/physiology', 'NAD/pharmacology', 'Sirtuins/metabolism', 'Transcription Factors/metabolism']",Nicotinamide adenine dinucleotide extends the lifespan of Caenorhabditis elegans mediated by sir-2.1 and daf-16.,Biogerontology,"Hashimoto, T et al.",11,,19370397,"Hashimoto, T et al.",2010,,1,31-43,,,,
18243,"['Aging/drug effects/physiology', 'Animals', 'Calcium Channel Blockers/pharmacology', 'Dose-Response Relationship, Drug', 'Drosophila melanogaster/drug effects/physiology', 'Life Expectancy', 'Locomotion/drug effects/physiology', 'Longevity/drug effects/physiology', 'Triazines/pharmacology']",Lamotrigine extends lifespan but compromises health span in Drosophila melanogaster.,Biogerontology,"Avanesian, A et al.",11,,19430925,"Avanesian, A et al.",2010,,1,45-52,,,,
18246,"['Animals', 'Caenorhabditis elegans/genetics/metabolism', 'Caenorhabditis elegans Proteins/genetics/metabolism', 'Carbonyl Cyanide m-Chlorophenyl Hydrazone/pharmacology', 'Longevity/drug effects/physiology', 'Membrane Potential, Mitochondrial/drug effects/physiology', 'Mitochondria/genetics/metabolism', 'Mitochondrial Proteins/genetics/metabolism', 'Uncoupling Agents/pharmacology']",C. elegans longevity pathways converge to decrease mitochondrial membrane potential.,Mech. Ageing Dev.,"Lemire, BD et al.",130,,19442682,"Lemire, BD et al.",2009,,7,461-465,,,,
18247,"['Administration, Oral', 'Animals', 'Antioxidants/pharmacology', 'Caenorhabditis elegans/drug effects/genetics', 'Dose-Response Relationship, Drug', 'Fluorescein/metabolism', 'Fluorescent Dyes/metabolism', 'Liposomes/metabolism', 'Longevity/drug effects', 'Nematoda/metabolism', 'Solubility', 'Time Factors', 'Water/chemistry']",A method for oral administration of hydrophilic substances to Caenorhabditis elegans: Effects of oral supplementation with antioxidants on the nematode lifespan.,Mech. Ageing Dev.,"Shibamura, A et al.",130,,19580823,"Shibamura, A et al.",2009,,9,652-655,,,,
18248,"['Animals', 'Caenorhabditis elegans', 'Calcium-Calmodulin-Dependent Protein Kinase Type 2/metabolism', 'Caloric Restriction', 'Catechin/metabolism', 'Flavonoids/chemistry', 'Free Radicals', 'Genotype', 'Insulin/metabolism', 'Longevity', 'Pharynx/pathology', 'Phenols/chemistry', 'Phenotype', 'Polyphenols', 'Signal Transduction', 'Temperature', 'Time Factors']",Catechin induced longevity in C. elegans: from key regulator genes to disposable soma.,Mech. Ageing Dev.,"Saul, N et al.",130,,19501612,"Saul, N et al.",2009,,8,477-486,,,,
18251,"['Animals', 'Caenorhabditis elegans/physiology', 'Caenorhabditis elegans Proteins/genetics/metabolism', 'Dose-Response Relationship, Drug', 'Enzyme Inhibitors/pharmacology', 'Forkhead Transcription Factors', 'Gene Deletion', 'Heat-Shock Proteins/metabolism', 'Kaplan-Meier Estimate', 'Longevity/drug effects', 'Models, Animal', 'Naphthoquinones/pharmacology', 'Oxidative Stress/physiology', 'RNA Interference', 'Reactive Oxygen Species/metabolism', 'Sirtuins/genetics/metabolism', 'Transcription Factors/genetics/metabolism']",Caenorhabditis elegans lifespan extension caused by treatment with an orally active ROS-generator is dependent on DAF-16 and SIR-2.1.,Biogerontology,"Heidler, T et al.",11,,19597959,"Heidler, T et al.",2010,,2,183-195,,,,
18252,"['Animals', 'Antioxidants/chemistry/pharmacology', 'Catalase/metabolism', 'Cytoprotection', 'Disaccharides/analysis', 'Down-Regulation', 'Drosophila melanogaster/drug effects/metabolism', 'Female', 'Fertility/drug effects', 'Glucosides/analysis', 'Hydrogen Peroxide/toxicity', 'Longevity/drug effects', 'Male', 'Mitochondria/drug effects/enzymology/metabolism', 'Oxidants/toxicity', 'Oxidative Stress/drug effects', 'Paraquat/toxicity', 'Phenols/analysis', 'Plant Extracts/pharmacology', 'Plant Roots', 'Rhodiola', 'Superoxide Dismutase/metabolism', 'Superoxides/metabolism']",Decreased mitochondrial superoxide levels and enhanced protection against paraquat in Drosophila melanogaster supplemented with Rhodiola rosea.,Free Radic. Res.,"Schriner, SE et al.",43,,19634056,"Schriner, SE et al.",2009,,9,836-843,,,,
18254,"['Animals', 'Antioxidants/pharmacology', 'Biflavonoids/pharmacology', 'Catechin/pharmacology', 'Drosophila melanogaster', 'Gene Expression Regulation, Enzymologic/drug effects/genetics/physiology', 'Lipid Peroxidation/drug effects/genetics', 'Longevity/drug effects/genetics', 'Paraquat/pharmacology', 'Tea']",Black tea theaflavins extend the lifespan of fruit flies.,Exp. Gerontol.,"Peng, C et al.",44,,19770032,"Peng, C et al.",2009,,12,773-783,,,,
18255,"['Administration, Oral', 'Aging/drug effects/genetics/physiology', 'Animals', 'Carrier Proteins/antagonists & inhibitors/metabolism', 'Diet', 'Disease Susceptibility', 'Female', 'Longevity/drug effects/genetics/physiology', 'Male', 'Mice', 'Phosphotransferases (Alcohol Group Acceptor)/antagonists & inhibitors/metabolism', 'Sirolimus/administration & dosage/pharmacology', 'Specific Pathogen-Free Organisms', 'Survival Analysis', 'TOR Serine-Threonine Kinases', 'Time Factors']",Rapamycin fed late in life extends lifespan in genetically heterogeneous mice.,Nature,"Harrison, DE et al.",460,,19587680,"Harrison, DE et al.",2009,,7253,392-395,,,,
18256,"['AMP-Activated Protein Kinases/genetics/metabolism', 'Animals', 'Caenorhabditis elegans/genetics/metabolism', 'Caenorhabditis elegans Proteins/genetics/metabolism', 'Forkhead Transcription Factors/genetics/metabolism', 'Longevity', 'Oxaloacetates/metabolism', 'Signal Transduction']",Oxaloacetate supplementation increases lifespan in Caenorhabditis elegans through an AMPK/FOXO-dependent pathway.,Aging Cell,"Williams, DS et al.",8,,19793063,"Williams, DS et al.",2009,,6,765-768,,,,
18258,"['Acetylation', 'Adult', 'Animals', 'Autophagy/drug effects', 'Caenorhabditis elegans/drug effects/immunology/physiology', 'Drosophila melanogaster/drug effects/immunology/physiology', 'Female', 'HeLa Cells', 'Histones/metabolism', 'Humans', 'Hydrogen-Ion Concentration', 'Longevity/drug effects', 'Male', 'Mice', 'Mice, Inbred C57BL', 'Necrosis', 'Saccharomyces cerevisiae/drug effects/immunology/physiology', 'Spermidine/pharmacology']",Induction of autophagy by spermidine promotes longevity.,Nat. Cell Biol.,"Eisenberg, T et al.",11,,19801973,"Eisenberg, T et al.",2009,,11,1305-1314,,,,
18260,"['Acetic Acid/pharmacology', 'Animals', 'Caenorhabditis elegans/drug effects/genetics/physiology', 'Caenorhabditis elegans Proteins/genetics/metabolism', 'Chromatography, Liquid', 'Electrophoresis, Gel, Two-Dimensional', 'Forkhead Transcription Factors', 'Gene Expression Regulation/drug effects', 'Insulin-Like Growth Factor I/genetics/metabolism', 'Longevity/drug effects/genetics/physiology', 'Polysaccharides/pharmacology', 'Proteomics', 'Receptor, Insulin/genetics/metabolism', 'Reishi/chemistry', 'Tandem Mass Spectrometry', 'Transcription Factors/genetics/metabolism']",The lifespan-promoting effect of acetic acid and Reishi polysaccharide.,Bioorg. Med. Chem.,"Chuang, MH et al.",17,,19837596,"Chuang, MH et al.",2009,,22,7831-7840,,,,
18263,"['Animals', 'Aquaporin 1/antagonists & inhibitors/genetics/metabolism', 'Caenorhabditis elegans/physiology', 'Caenorhabditis elegans Proteins/antagonists & inhibitors/genetics/metabolism', 'DNA-Binding Proteins/antagonists & inhibitors/genetics/metabolism', 'Down-Regulation', 'Feedback, Physiological', 'Forkhead Transcription Factors', 'Gene Knockout Techniques', 'Glucose/metabolism', 'Glycerol/metabolism', 'Insulin/metabolism', 'Longevity', 'Receptor, IGF Type 1/physiology', 'Signal Transduction', 'Transcription Factors/antagonists & inhibitors/genetics/metabolism']",Glucose shortens the life span of C. elegans by downregulating DAF-16/FOXO activity and aquaporin gene expression.,Cell Metab.,"Lee, SJ et al.",10,,19883616,"Lee, SJ et al.",2009,,5,379-391,,,,
18283,"['Aging', 'Animals', 'Cyclin-Dependent Kinase Inhibitor p16/metabolism', 'Cyclin-Dependent Kinase Inhibitor p21/metabolism', 'Hematopoiesis', 'Hematopoietic Stem Cells/cytology/metabolism', 'Male', 'Mice', 'Mice, Inbred C57BL', 'Orthomyxoviridae/metabolism', 'Protein Kinases/metabolism', 'Signal Transduction', 'Sirolimus/pharmacology', 'TOR Serine-Threonine Kinases', 'Time Factors']",mTOR regulation and therapeutic rejuvenation of aging hematopoietic stem cells.,Sci Signal,"Chen, C et al.",2,,19934433,"Chen, C et al.",2009,,98,ra75,,,,
18284,"['Androstadienes/pharmacology', 'Animals', 'Chromones/pharmacology', 'Drosophila Proteins/antagonists & inhibitors', 'Drosophila melanogaster/drug effects/enzymology/physiology', 'Drug Evaluation, Preclinical', 'Female', 'Longevity/drug effects/physiology', 'Male', 'Morpholines/pharmacology', 'Phosphatidylinositol 3-Kinases/antagonists & inhibitors', 'Protein Kinase Inhibitors/pharmacology', 'Protein Kinases', 'Sirolimus/pharmacology', 'Survival', 'TOR Serine-Threonine Kinases']",Pharmacological inhibition of phosphoinositide 3 and TOR kinases improves survival of Drosophila melanogaster.,Rejuvenation Res,"Moskalev, AA and Shaposhnikov, MV",13,,20017609,"Moskalev, A.A. and Shaposhnikov, M.V.",2010,,02-Mar,246-247,,,,
18287,"['Aging/physiology', 'Animals', 'Autophagy', 'Drosophila Proteins/metabolism', 'Drosophila melanogaster/physiology', 'Longevity', 'Phosphorylation', 'Protein Biosynthesis/drug effects', 'Protein Kinases/metabolism', 'Proto-Oncogene Proteins c-akt/metabolism', 'Ribosomal Protein S6 Kinases/metabolism', 'Sirolimus/pharmacology', 'TOR Serine-Threonine Kinases']",Mechanisms of life span extension by rapamycin in the fruit fly Drosophila melanogaster.,Cell Metab.,"Bjedov, I et al.",11,,20074526,"Bjedov, I et al.",2010,,1,35-46,,,,
18288,"['Aging/drug effects', 'Amyloid beta-Peptides/genetics/metabolism', 'Animals', 'Animals, Genetically Modified', 'Caenorhabditis elegans/genetics/metabolism/physiology', 'Caenorhabditis elegans Proteins/genetics/metabolism', 'Cinnamomum aromaticum/chemistry', 'Drugs, Chinese Herbal/pharmacology', 'Green Fluorescent Proteins/genetics/metabolism', 'Heat-Shock Proteins/genetics/metabolism', 'Heat-Shock Proteins, Small/metabolism', 'Humans', 'Hydrogen Peroxide/metabolism', 'Longevity/drug effects', 'Microscopy, Fluorescence', 'Models, Animal', 'Oxidative Stress/drug effects/physiology', 'Paralysis/genetics/metabolism/prevention & control', 'Plant Bark/chemistry', 'Receptor, Insulin/physiology', 'Signal Transduction/drug effects', 'Time Factors']",Cinnamomum cassia bark in two herbal formulas increases life span in Caenorhabditis elegans via insulin signaling and stress response pathways.,PLoS ONE,"Yu, YB et al.",5,,20179756,"Yu, YB et al.",2010,,2,e9339,,,,
18289,"['Animals', 'Blood Glucose/analysis/drug effects', 'Body Temperature/drug effects/physiology', 'Body Weight/drug effects/physiology', 'Eating/drug effects/physiology', 'Food Additives/pharmacology', 'Hypoglycemic Agents/pharmacology', 'Insulin/blood', 'Longevity/drug effects/physiology', 'Male', 'Metformin/pharmacology', 'Rats', 'Rats, Inbred F344/physiology']",Metformin supplementation and life span in Fischer-344 rats.,J. Gerontol. A Biol. Sci. Med. Sci.,"Smith, DL et al.",65,,20304770,"Smith, DL et al.",2010,,5,468-474,,,,
18290,"['Aging', 'Animals', 'Caenorhabditis elegans/genetics/metabolism', 'Caenorhabditis elegans Proteins/genetics/metabolism', 'DNA, Mitochondrial/genetics', 'DNA-(Apurinic or Apyrimidinic Site) Lyase/genetics/metabolism', 'Gene Deletion', 'RNA Interference', 'Reactive Oxygen Species/metabolism', 'Thioredoxins/genetics/metabolism', 'Tumor Suppressor Protein p53/genetics/metabolism']","Apurinic/apyrimidinic endonuclease 1, p53, and thioredoxin are linked in control of aging in C. elegans.",Aging Cell,"Schlotterer, A et al.",9,,20346071,"Schlotterer, A et al.",2010,,3,420-432,,,,
18291,"['Aging/drug effects/metabolism', 'Animal Feed', 'Animals', 'Antioxidants/metabolism/physiology', 'Dietary Supplements', 'Drug Evaluation, Preclinical', 'Drugs, Chinese Herbal/therapeutic use', 'Female', 'Longevity/drug effects/physiology', 'Male', 'Mice', 'Mice, Inbred C57BL', 'Mitochondria/drug effects/metabolism', 'Survival Analysis', 'Time Factors', 'Yang Deficiency/drug therapy/mortality/pathology', 'Yin-Yang']",Long-term dietary supplementation with a yang-invigorating Chinese herbal formula increases lifespan and mitigates age-associated declines in mitochondrial antioxidant status and functional ability of various tissues in male and female C57BL/6J mice.,Rejuvenation Res,"Ko, KM et al.",13,,20370440,"Ko, KM et al.",2010,,02-Mar,168-171,,,,
18292,"['Adenylate Kinase/metabolism', 'Animals', 'Caenorhabditis elegans Proteins/metabolism', 'Caloric Restriction', 'DNA-Binding Proteins/metabolism', 'Hypoglycemic Agents/pharmacology', 'Insulin/metabolism', 'Metformin/pharmacology', 'Oxidative Stress', 'Signal Transduction', 'Transcription Factors/metabolism']","Metformin induces a dietary restriction-like state and the oxidative stress response to extend C. elegans Healthspan via AMPK, LKB1, and SKN-1.",PLoS ONE,"Onken, B and Driscoll, M",5,,20090912,"Onken, B. and Driscoll, M.",2010,,1,e8758,,,,
18296,"['Animals', 'Caenorhabditis elegans/drug effects/genetics/growth & development/physiology', 'Dose-Response Relationship, Drug', 'Hot Temperature', 'Longevity/drug effects', 'MAP Kinase Kinase 4/metabolism', 'Models, Biological', 'Mutation/drug effects', 'Oxidative Stress/drug effects', 'Pharynx/drug effects/physiology', 'Reproduction/drug effects', 'Stress, Physiological/drug effects', 'Tannins/administration & dosage']",The longevity effect of tannic acid in Caenorhabditis elegans: Disposable Soma meets hormesis.,J. Gerontol. A Biol. Sci. Med. Sci.,"Saul, N et al.",65,,20413530,"Saul, N et al.",2010,,6,626-635,,,,
18297,"['Aging', 'Animals', 'Electron Transport', 'Energy Metabolism', 'Indoles/pharmacology', 'Longevity/drug effects', 'Mitochondria/drug effects', 'Oxidative Phosphorylation', 'Protective Agents', 'Reactive Oxygen Species', 'Rodentia']",A novel endogenous indole protects rodent mitochondria and extends rotifer lifespan.,PLoS ONE,"Poeggeler, B et al.",5,,20421998,"Poeggeler, B et al.",2010,,4,e10206,,,,
18300,"['Animals', 'Caenorhabditis elegans/drug effects/physiology', 'Chromatography, High Pressure Liquid', 'Humans', 'Longevity/drug effects', 'Mass Spectrometry', 'Models, Animal', 'Molecular Weight', 'Phaseolus/chemistry/genetics/metabolism', 'Plant Extracts/chemistry/metabolism/pharmacology']",Characterization of low molecular weight chemical fractions of dry bean (Phaseolus vulgaris) for bioactivity using Caenorhabditis elegans longevity and metabolite fingerprinting.,J. Agric. Food Chem.,"Mensack, MM et al.",58,,20455573,"Mensack, MM et al.",2010,,11,6697-6705,,,,
18301,"['Adaptation, Physiological/drug effects', 'Animals', 'Caenorhabditis elegans/drug effects/physiology', 'Caenorhabditis elegans Proteins/metabolism', 'Fluorescence', 'Lipofuscin/metabolism', 'Longevity/drug effects', 'Peptides/chemistry/metabolism', 'Pharynx/drug effects/physiology', 'Protein Structure, Quaternary', 'RNA Interference/drug effects', 'Reproduction/drug effects', 'Survival Analysis', 'Temperature', 'Trehalose/pharmacology']",Trehalose extends longevity in the nematode Caenorhabditis elegans.,Aging Cell,"Honda, Y et al.",9,,20477758,"Honda, Y et al.",2010,,4,558-569,,,,
18302,"['Animals', 'Animals, Genetically Modified', 'Caenorhabditis elegans/drug effects/genetics/metabolism', 'Caenorhabditis elegans Proteins/genetics/metabolism', 'Catechin/analogs & derivatives/pharmacology', 'Cell Line', 'Forkhead Transcription Factors/metabolism', 'Gene Expression/drug effects', 'Genes, Helminth/drug effects', 'Harmine/pharmacology', 'Humans', 'Hydrogen Peroxide/metabolism', 'Longevity/drug effects', 'Phosphatidylinositol 3-Kinases/metabolism', 'Phosphorylation', 'Protein-Serine-Threonine Kinases/antagonists & inhibitors', 'Protein-Tyrosine Kinases/antagonists & inhibitors', 'Proto-Oncogene Proteins c-akt/metabolism', 'Signal Transduction/drug effects', 'Superoxide Dismutase/genetics/metabolism', 'Transcription Factors/metabolism']",Epigallocatechin gallate-induced modulation of FoxO signaling in mammalian cells and C. elegans: FoxO stimulation is masked via PI3K/Akt activation by hydrogen peroxide formed in cell culture.,Arch. Biochem. Biophys.,"Bartholome, A et al.",501,,20513639,"Bartholome, A et al.",2010,,1,58-64,,,,
18303,"['Aging/drug effects/genetics', 'Animals', 'Animals, Genetically Modified', 'Caenorhabditis elegans/drug effects/genetics/physiology', 'Caenorhabditis elegans Proteins/biosynthesis/genetics/physiology', 'Drug Evaluation, Preclinical', 'Forkhead Transcription Factors', 'Gene Expression Profiling', 'Gene Knockdown Techniques', 'Genes, Helminth', 'Hemin/analogs & derivatives/pharmacology', 'Hot Temperature', 'Longevity/drug effects/genetics', 'Oligopeptides/pharmacology', 'Oxidative Stress/drug effects', 'Paraquat/toxicity', 'Sirtuins/biosynthesis/deficiency/genetics/physiology', 'Stress, Physiological/drug effects', 'Succinate Dehydrogenase/deficiency/physiology', 'Transcription Factors/deficiency/genetics/physiology']",A deuterohemin peptide extends lifespan and increases stress resistance in Caenorhabditis elegans.,Free Radic. Res.,"Guan, S et al.",44,,20528576,"Guan, S et al.",2010,,7,813-820,,,,
18305,"['Acetic Acid/pharmacology', 'Acetylcarnitine/pharmacology', 'Apoptosis/drug effects', 'Caffeine/pharmacology', 'Cell Survival/drug effects', 'Cytoprotection/drug effects', 'Hydrogen Peroxide/pharmacology', 'Mitochondria/drug effects/metabolism', 'Models, Biological', 'Mutation/genetics', 'Oxidative Stress/drug effects', 'Oxygen Consumption/drug effects', 'Phenotype', 'Ribonucleoprotein, U4-U6 Small Nuclear/genetics', 'Saccharomyces cerevisiae/cytology/drug effects/growth & development', 'Saccharomyces cerevisiae Proteins/genetics', 'Time Factors']",Acetyl-L-carnitine protects yeast cells from apoptosis and aging and inhibits mitochondrial fission.,Aging Cell,"Palermo, V et al.",9,,20550520,"Palermo, V et al.",2010,,4,570-579,,,,
18310,"['Animals', 'Antioxidants/administration & dosage/isolation & purification', 'Collagen/administration & dosage/analysis/isolation & purification', 'Disease Models, Animal', 'Female', 'Humans', 'Life Expectancy', 'Longevity/drug effects', 'Male', 'Neoplasms/drug therapy/mortality/pathology/prevention & control', 'Oncorhynchus keta/metabolism', 'Peptides/administration & dosage/analysis/isolation & purification', 'Rats', 'Rats, Sprague-Dawley', 'Skin/chemistry']",Marine collagen peptides prepared from chum salmon (Oncorhynchus keta) skin extend the life span and inhibit spontaneous tumor incidence in Sprague-Dawley Rats.,J Med Food,"Liang, J et al.",13,,20553190,"Liang, J et al.",2010,,4,757-770,,,,
18311,"['Caloric Restriction', 'Cell Aging/genetics', 'Cyclic AMP-Dependent Protein Kinases/physiology', 'Humans', 'Intracellular Signaling Peptides and Proteins/physiology', 'Lipid Metabolism/genetics', 'Lithocholic Acid/physiology', 'Longevity/genetics', 'Models, Genetic', 'Saccharomyces cerevisiae Proteins/physiology', 'Sirolimus/analysis', 'Yeasts/physiology']","Chemical genetic screen identifies lithocholic acid as an anti-aging compound that extends yeast chronological life span in a TOR-independent manner, by modulating housekeeping longevity assurance processes.",Aging (Albany NY),"Goldberg, AA et al.",2,,20622262,"Goldberg, AA et al.",2010,,7,393-414,,,,
18312,"['Aging/drug effects/genetics', 'Animals', 'Cluster Analysis', 'Curcumin/administration & dosage/pharmacology', 'Dietary Supplements', 'Drosophila melanogaster/drug effects/genetics', 'Gene Expression Profiling', 'Gene Expression Regulation/drug effects', 'Genes, Insect/genetics', 'Health', 'Locomotion/drug effects', 'Longevity/drug effects/genetics', 'Oligonucleotide Array Sequence Analysis', 'Oxidative Stress/drug effects', 'Protective Agents/administration & dosage/pharmacology', 'Reproducibility of Results', 'Reverse Transcriptase Polymerase Chain Reaction', 'Survival Analysis', 'Transcription, Genetic/drug effects']","Curcumin extends life span, improves health span, and modulates the expression of age-associated aging genes in Drosophila melanogaster.",Rejuvenation Res,"Lee, KS et al.",13,,20645870,"Lee, KS et al.",2010,,5,561-570,,,,
18313,"['Animals', 'Carnosine/chemistry/pharmacology', 'Chromans/chemistry', 'Drosophila melanogaster/physiology', 'Female', 'Longevity/drug effects', 'Male']",Effect of carnosine and its Trolox-modified derivatives on life span of Drosophila melanogaster.,Rejuvenation Res,"Stvolinsky, S et al.",13,,20681748,"Stvolinsky, S et al.",2010,,4,453-457,,,,
18318,"['Animals', 'Dose-Response Relationship, Drug', 'Drosophila melanogaster/drug effects/physiology', 'Ethanol', 'Female', 'Longevity/drug effects', 'Male', 'Plant Components, Aerial/chemistry', 'Plant Extracts/chemistry/pharmacology', 'Sex Factors', 'Stachys', 'Water']",Extended longevity of Drosophila melanogaster by water and ethanol extracts of Stachys lavandulifolia.,Pharm Biol,"Altun, D et al.",48,,20738162,"Altun, D et al.",2010,,11,1291-1296,,,,
18320,"['Animals', 'Caenorhabditis elegans/drug effects/genetics/physiology', 'Caenorhabditis elegans Proteins/genetics', 'Longevity/drug effects', 'Malus/chemistry', 'Mutation', 'Proanthocyanidins/isolation & purification/pharmacology', 'Sirtuins/genetics', 'Stilbenes/pharmacology', 'Succinate Dehydrogenase/genetics', 'Temperature']",Procyanidins from apples (Malus pumila Mill.) extend the lifespan of Caenorhabditis elegans.,Planta Med.,"Sunagawa, T et al.",77,,20717869,"Sunagawa, T et al.",2011,,2,122-127,,,,
18329,"['Animals', 'Caenorhabditis elegans/drug effects/genetics/physiology', 'Caenorhabditis elegans Proteins/genetics/physiology', 'Dimethyl Sulfoxide/pharmacology', 'Forkhead Transcription Factors', 'Gene Expression', 'Longevity/drug effects/genetics', 'Sirtuins/genetics/physiology', 'Solvents/pharmacology', 'Transcription Factors/genetics/physiology']",Lifespan extension in Caenorhabditis elegans by DMSO is dependent on sir-2.1 and daf-16.,Biochem. Biophys. Res. Commun.,"Wang, X et al.",400,,20828537,"Wang, X et al.",2010,,4,613-618,,,,
18330,"['Acetylcysteine/pharmacology', 'Animals', 'Aspirin/pharmacology', 'Crosses, Genetic', 'Diet', 'Female', 'Flurbiprofen/analogs & derivatives/pharmacology', 'Imines/pharmacology', 'Life Expectancy', 'Longevity/drug effects', 'Male', 'Masoprocol/pharmacology', 'Mice', 'Mice, Inbred Strains/genetics', 'Phenols/pharmacology', 'Sex Factors']",Life extension by diet restriction and N-acetyl-L-cysteine in genetically heterogeneous mice.,J. Gerontol. A Biol. Sci. Med. Sci.,"Flurkey, K et al.",65,,20819793,"Flurkey, K et al.",2010,,12,1275-1284,,,,
18331,"['Animals', 'Caenorhabditis elegans/drug effects/metabolism/physiology', 'Culture Media/chemistry/pharmacology', 'Electrolysis', 'Longevity/drug effects', 'Reactive Oxygen Species/metabolism', 'Water/chemistry/pharmacology']",Extension of the lifespan of Caenorhabditis elegans by the use of electrolyzed reduced water.,Biosci. Biotechnol. Biochem.,"Yan, H et al.",74,,20944427,"Yan, H et al.",2010,,10,2011-2015,,,,
18332,"['Aging/drug effects', 'Amino Acids, Branched-Chain/administration & dosage/pharmacology', 'Animals', 'Longevity/drug effects', 'Mice', 'Mitochondria, Heart/metabolism', 'Mitochondria, Muscle/metabolism', 'Muscle, Skeletal/ultrastructure', 'Nitric Oxide Synthase Type III', 'Reactive Oxygen Species/metabolism', 'Tissue Distribution']",Branched-chain amino acid supplementation promotes survival and supports cardiac and skeletal muscle mitochondrial biogenesis in middle-aged mice.,Cell Metab.,"D'Antona, G et al.",12,,20889128,"D'Antona, G et al.",2010,,4,362-372,,,,
